Site,Disturbance,Exclosure,Date,hits_Total,hits_C4,hits_C3,hits_Brome,hits_VUOC,hits_AnnForb,hits_PerForb,hits_Forb,hits_Subshrub,hits_SD,hits_Herb,weight_Total,weight_C4,weight_C3,weight_Brome,weight_Forb,weight_AnnForb,weight_PerForb,weight_VUOC,weight_Subshrub,weight_SD,weight_Herb,Year
wildcat,control,out,2019-08-05,9,3,6,0,0,0,0,0,0,0,9,74.67333333333333,6.033333333333334,11.233333333333334,0.006666666666666667,0.0,0.06666666666666667,1.2,0.0,0.0,0.3666666666666667,74.30666666666667,2019
wildcat,control,out,2020-08-06,16,5,8,0,0,0,0,0,0,0,13,58.26,0.0,28.0,0.0,0.0,0.0,3.6,0.0,0.0,19.9,38.36,2020
wildcat,control,ungulate ex,2017-07-18,18,7,11,0,0,0,0,0,0,0,18,92.33999999999999,2.5333333333333328,38.666666666666664,0.2133333333333335,0.6466666666666671,0.0,0.0,0.0,0.0,0.0,92.33999999999999,2017
wildcat,control,ungulate ex,2018-08-02,16,8,3,1,0,0,0,0,0,4,16,214.91333333333333,13.166666666666666,10.086666666666668,2.72,4.466666666666667,0.0,0.0,0.37999999999999995,0.0,2.7066666666666666,212.20666666666665,2018
wildcat,control,ungulate ex,2019-08-05,10,0,0,0,0,0,0,0,10,0,10,150.9,0.0,0.19999999999999998,0.13333333333333333,0.0,0.26666666666666666,0.0,0.0,8.366666666666667,0.0,150.9,2019
wildcat,control,ungulate ex,2020-08-06,9,2,4,0,0,0,0,0,0,3,9,59.96000000000001,0.0,21.2,1.1,0.0,0.2,0.96,0.0,0.0,26.3,33.66000000000001,2020
wildcat,fire,livestock ex,2017-07-18,19,18,1,0,0,0,0,0,0,0,19,140.84666666666666,10.266666666666667,21.293333333333333,0.11333333333333329,0.3333333333333333,0.0,0.0,0.10666666666666676,0.0,0.0,140.84666666666666,2017
wildcat,fire,livestock ex,2018-08-06,50,16,17,12,5,0,0,0,0,0,50,248.62,23.926666666666666,36.04,24.92,1.9333333333333333,0.0,0.0,0.9466666666666667,0.0,8.84,239.78,2018
wildcat,fire,livestock ex,2019-08-05,35,7,6,6,0,0,3,3,0,13,35,305.47999999999996,11.0,37.56666666666667,7.666666666666667,0.0,3.1,0.6666666666666666,0.013333333333333334,0.0,28.366666666666664,277.1133333333333,2019
wildcat,fire,livestock ex,2020-08-06,22,7,4,1,0,0,0,0,0,10,22,130.88320000000002,0.0,27.6,7.1,0.0,0.1,0.0,0.0032,0.0,75.68,55.20320000000001,2020
wildcat,fire,out,2017-07-18,11,0,11,0,0,0,0,0,0,0,11,142.3133333333333,0.8800000000000002,40.13999999999999,0.13999999999999937,0.0,0.0,0.0,0.0,0.20000000000000048,0.0,142.3133333333333,2017
wildcat,fire,out,2018-08-06,24,3,7,6,8,0,0,0,0,0,24,297.29333333333335,5.579999999999999,86.75999999999999,2.0533333333333332,0.62,0.0,0.0,4.426666666666667,0.0,6.420000000000001,290.87333333333333,2018
wildcat,fire,out,2019-08-05,33,6,8,17,0,2,0,2,0,0,33,204.53333333333333,14.233333333333334,28.866666666666664,11.233333333333334,0.0,0.8666666666666667,0.0,0.19999999999999998,0.0,12.299999999999999,192.23333333333332,2019
wildcat,fire,out,2020-08-06,22,7,4,1,0,0,0,0,0,0,22,60.52,0.0,21.4,12.88,0.0,0.0,0.0,0.0,0.0,15.84,44.68000000000001,2020
wildcat,fire,ungulate ex,2017-07-18,22,0,22,0,0,0,0,0,0,0,22,176.57333333333335,0.0,40.24,0.10000000000000024,0.08000000000000007,0.0,0.0,0.0,0.0,0.0,176.57333333333335,2017
wildcat,fire,ungulate ex,2018-08-06,12,0,9,1,0,0,0,0,0,2,12,470.94666666666666,0.0,133.4,25.626666666666665,1.1933333333333334,0.0,0.0,0.02,0.0,20.153333333333332,450.79333333333335,2018
wildcat,fire,ungulate ex,2019-08-05,41,1,11,5,2,4,0,4,0,18,41,334.29999999999995,0.9666666666666667,73.39999999999999,3.4,0.0,6.0,0.0,0.3,0.0,38.699999999999996,295.59999999999997,2019
wildcat,fire,ungulate ex,2020-08-06,16,0,7,4,0,0,0,0,0,5,16,104.06,0.0,80.04,3.5,0.0,0.0,0.0,0.0,0.0,20.52,83.54,2020
wildcat,prairie dog,livestock ex,2017-07-18,3,0,3,0,0,0,0,0,0,0,3,73.65333333333334,0.0,9.693333333333335,0.0,3.22,0.0,0.0,0.0,0.0,0.0,73.65333333333334,2017
wildcat,prairie dog,livestock ex,2018-08-02,37,0,31,0,0,3,3,6,0,0,37,109.15333333333335,0.0,51.61333333333334,0.26666666666666666,9.446666666666667,0.0,0.0,0.006666666666666667,0.0,0.07333333333333333,109.08000000000001,2018
wildcat,prairie dog,livestock ex,2019-08-05,24,0,0,0,0,21,3,24,0,0,24,204.79333333333332,0.0,0.0,0.0,0.0,64.10000000000001,8.066666666666666,0.0,0.0,2.1,202.69333333333333,2019
wildcat,prairie dog,livestock ex,2020-08-06,4,0,1,0,0,0,3,3,0,0,4,158.16,0.48,57.76,0.0,0.0,3.1,19.96,0.0,0.0,76.86,81.3,2020
wildcat,prairie dog,out,2018-08-02,51,0,38,0,0,10,3,13,0,0,51,287.78,0.0,132.39333333333335,0.0,4.926666666666667,0.0,0.0,0.02666666666666667,0.0,0.86,286.91999999999996,2018
wildcat,prairie dog,out,2019-08-05,36,0,21,0,1,5,0,5,0,9,36,310.5266666666667,0.0,70.3,0.0,0.0,16.333333333333332,0.0,2.1999999999999997,0.0,12.233333333333334,298.29333333333335,2019
wildcat,prairie dog,out,2020-08-06,16,0,1,0,5,0,0,0,0,10,16,157.232,0.0,40.9,0.0482,0.0,2.28,0.0638,4.48,0.0,109.06,48.172,2020
wildcat,prairie dog,ungulate ex,2017-07-18,17,0,17,0,0,0,0,0,0,0,17,139.86666666666665,0.0,41.099999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.86666666666665,2017
wildcat,prairie dog,ungulate ex,2018-08-02,46,0,40,0,0,6,0,6,0,0,46,491.48,0.0,146.35333333333332,0.0,5.3933333333333335,0.0,0.0,0.18000000000000002,0.0,25.040000000000003,466.44,2018
wildcat,prairie dog,ungulate ex,2019-08-05,37,0,17,0,0,6,0,6,0,14,37,461.03999999999996,0.0,94.73333333333333,0.0,0.0,7.1000000000000005,0.0,0.16666666666666666,0.0,15.633333333333333,445.40666666666664,2019
wildcat,prairie dog,ungulate ex,2020-08-06,49,0,2,0,1,8,0,8,0,38,49,327.65999999999997,0.0,53.8,0.0,0.0,47.74,0.0,0.36,0.0,225.76,101.89999999999998,2020
