Site,Disturbance,Exclosure,Date,hits_Total,hits_C4,hits_C3,hits_Brome,hits_VUOC,hits_AnnForb,hits_PerForb,hits_Forb,hits_Subshrub,hits_SD,hits_Herb,weight_Total,weight_C4,weight_C3,weight_Brome,weight_Forb,weight_AnnForb,weight_PerForb,weight_VUOC,weight_Subshrub,weight_SD,weight_Herb,Year
lake creek,prairie dog,out,2017-07-25,18,0,4,0,0,14,0,14,0,0,18,79.34,8.493333333333332,8.113333333333335,0.0,25.320000000000004,0.0,0.0,0.0,0.0,0.0,79.34,2017
lake creek,prairie dog,out,2018-07-30,21,8,2,0,2,9,0,9,0,0,21,155.28,8.86,7.373333333333334,0.0,42.526666666666664,0.0,0.0,0.8066666666666666,0.0,0.03333333333333333,155.24666666666667,2018
lake creek,prairie dog,out,2019-07-31,26,9,3,1,0,7,0,7,0,0,20,235.00666666666666,10.366666666666667,9.933333333333334,0.006666666666666667,0.0,33.1,0.19999999999999998,0.26666666666666666,1.0666666666666667,0.3,234.70666666666665,2019
lake creek,prairie dog,out,2020-08-03,21,8,0,7,0,0,0,0,0,6,21,47.886,0.0,6.64,6.66,0.0,0.5,0.0,0.006,0.0,15.62,32.266000000000005,2020
lake creek,prairie dog,ungulate ex,2017-07-25,11,7,0,0,0,4,0,4,0,0,11,84.94666666666667,3.9066666666666663,6.473333333333334,0.0,28.393333333333334,0.0,0.0,6.526666666666666,0.0,0.0,84.94666666666667,2017
lake creek,prairie dog,ungulate ex,2018-07-30,34,11,0,0,0,23,0,23,0,0,34,148.91333333333333,10.726666666666667,0.29333333333333333,0.02,35.339999999999996,0.0,0.0,0.16,0.0,0.08,148.83333333333331,2018
lake creek,prairie dog,ungulate ex,2019-07-31,30,24,0,0,1,5,0,5,0,0,30,209.13333333333333,30.566666666666666,0.9666666666666667,0.26666666666666666,0.0,30.099999999999998,0.0,5.933333333333334,0.0,0.6666666666666666,208.46666666666667,2019
lake creek,prairie dog,ungulate ex,2020-08-03,28,4,1,2,0,8,0,8,0,13,28,102.53999999999999,3.6,0.8,1.34,0.0,39.9,0.0,0.08,0.0,28.3,74.24,2020
steckley,control,livestock ex,2017-07-17,29,0,10,1,0,0,0,0,0,0,11,105.56,0.0,24.086666666666662,1.3133333333333337,0.07333333333333354,0.0,0.0,0.0,0.0,0.0,105.56,2017
steckley,control,livestock ex,2018-07-31,21,0,13,3,0,1,0,1,0,4,21,201.51999999999998,0.0,41.766666666666666,7.54,0.8466666666666667,0.0,0.0,0.0,0.0,3.1466666666666665,198.3733333333333,2018
steckley,control,livestock ex,2019-07-29,34,0,19,15,0,0,0,0,0,0,34,268.52,0.06666666666666667,44.800000000000004,42.03333333333333,0.0,0.04,1.2333333333333334,0.0,0.0,4.2,264.32,2019
steckley,control,livestock ex,2020-08-10,21,0,19,2,0,0,0,0,0,0,21,69.4,0.0,30.42,6.08,0.0,0.24,0.0,0.0,0.0,32.56,36.84,2020
steckley,control,out,2017-07-17,17,0,10,7,0,0,0,0,0,0,17,116.13333333333333,0.0,26.040000000000003,2.793333333333333,0.17333333333333334,0.0,0.0,0.0,0.0,0.0,116.13333333333333,2017
steckley,control,out,2018-07-31,43,13,12,17,0,0,0,0,0,0,42,180.04,10.386666666666667,32.166666666666664,20.80666666666667,1.1733333333333333,0.0,0.0,0.0,0.0,6.846666666666667,173.19333333333333,2018
steckley,control,out,2019-07-29,75,0,25,40,0,0,1,1,0,9,75,260.13333333333327,0.43333333333333335,73.7,44.166666666666664,0.0,0.13333333333333333,2.4,0.0,0.0,0.3,259.83333333333326,2019
steckley,control,out,2020-08-10,8,3,1,4,0,0,0,0,0,0,8,57.72,0.0,31.2,13.3,0.0,0.22,0.36,0.0,0.0,9.0,48.72,2020
steckley,control,ungulate ex,2017-07-17,0,0,0,0,0,0,0,0,0,0,0,80.14666666666666,10.546666666666669,1.2533333333333339,0.0,0.0,0.0,0.0,0.0,0.8000000000000007,0.0,80.14666666666666,2017
steckley,control,ungulate ex,2018-07-31,22,20,2,0,0,0,0,0,0,0,22,92.18307666666668,28.686666666666667,7.8133333333333335,0.05333333333333334,0.09999999999999999,0.0,0.0,0.003076666666666667,0.0,2.8466666666666662,89.33641000000001,2018
steckley,control,ungulate ex,2019-07-29,34,33,1,0,0,0,0,0,0,0,34,94.18,19.8,4.766666666666667,0.0,0.0,0.4666666666666666,0.13333333333333333,0.02666666666666667,0.0,0.19999999999999998,93.98,2019
steckley,control,ungulate ex,2020-08-10,8,7,1,0,0,0,0,0,0,0,8,34.080600000000004,0.0,1.8,0.44,0.0,0.0256,0.0,0.015,0.0,12.48,21.600600000000004,2020
steckley,fire,livestock ex,2017-07-17,2,0,2,0,0,0,0,0,0,0,2,161.46666666666667,49.35333333333333,15.839999999999998,13.439999999999998,0.0,0.0,0.0,0.0,0.0,0.0,161.46666666666667,2017
steckley,fire,livestock ex,2018-07-31,49,29,7,6,0,1,0,1,0,6,49,330.9866666666667,34.166666666666664,8.246666666666666,19.746666666666666,4.726666666666667,0.0,0.0,0.26,0.0,24.973333333333333,306.0133333333333,2018
steckley,fire,livestock ex,2019-07-30,39,11,3,24,0,1,0,1,0,0,39,157.03333333333333,20.766666666666666,3.466666666666667,31.433333333333334,0.0,3.5,0.0,0.19999999999999998,0.0,0.7000000000000001,156.33333333333334,2019
steckley,fire,out,2017-07-17,8,0,8,0,0,0,0,0,0,0,8,154.88666666666666,33.21333333333333,17.866666666666667,0.19333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,154.88666666666666,2017
steckley,fire,out,2018-07-31,62,47,7,0,0,0,0,0,0,8,62,279.6066666666667,6.82,39.486666666666665,24.19333333333333,4.1000000000000005,0.0,0.0,0.08666666666666667,0.0,22.633333333333336,256.97333333333336,2018
