Site,Disturbance,Exclosure,Date,FG,Year,Total Hits,hits,weight
lake creek,control,ungulate ex,2019-07-31,C3,2019,47,9,57.2
lake creek,control,ungulate ex,2019-07-31,C4,2019,47,1,9.1
lake creek,control,ungulate ex,2019-07-31,Forb,2019,47,14,65.7
lake creek,control,ungulate ex,2019-07-31,SD,2019,47,5,2.2
lake creek,control,ungulate ex,2019-07-31,Subshrub,2019,47,0,0.0
lake creek,control,ungulate ex,2019-07-31,Total,2019,47,47,211.5
lake creek,control,ungulate ex,2019-07-31,VUOC,2019,47,0,0.0
lake creek,control,ungulate ex,2020-08-03,AnnGrass,2020,29,18,39.7
lake creek,control,ungulate ex,2020-08-03,Brome,2020,29,18,39.7
lake creek,control,ungulate ex,2020-08-03,C3,2020,29,6,45.3
lake creek,control,ungulate ex,2020-08-03,C4,2020,29,0,10.1
lake creek,control,ungulate ex,2020-08-03,Forb,2020,29,0,1.4
lake creek,control,ungulate ex,2020-08-03,SD,2020,29,5,53.5
lake creek,control,ungulate ex,2020-08-03,Subshrub,2020,29,0,0.0
lake creek,control,ungulate ex,2020-08-03,Total,2020,29,29,150.0
lake creek,control,ungulate ex,2020-08-03,VUOC,2020,29,0,0.0
lake creek,fire,livestock ex,2017-07-20,AnnGrass,2017,18,0,13.48
lake creek,fire,livestock ex,2017-07-20,Brome,2017,18,0,0.0
lake creek,fire,livestock ex,2017-07-20,C3,2017,18,7,53.00000000000001
lake creek,fire,livestock ex,2017-07-20,C4,2017,18,11,46.699999999999996
lake creek,fire,livestock ex,2017-07-20,Forb,2017,18,0,22.06
lake creek,fire,livestock ex,2017-07-20,SD,2017,18,0,0.0
lake creek,fire,livestock ex,2017-07-20,Subshrub,2017,18,0,0.0
lake creek,fire,livestock ex,2017-07-20,Total,2017,18,18,135.24
lake creek,fire,livestock ex,2017-07-20,VUOC,2017,18,0,13.48
lake creek,fire,livestock ex,2018-07-30,AnnGrass,2018,38,10,19.02
lake creek,fire,livestock ex,2018-07-30,Brome,2018,38,1,2.7
lake creek,fire,livestock ex,2018-07-30,C3,2018,38,9,47.72
lake creek,fire,livestock ex,2018-07-30,C4,2018,38,2,31.82
lake creek,fire,livestock ex,2018-07-30,Forb,2018,38,11,114.44
lake creek,fire,livestock ex,2018-07-30,SD,2018,38,6,21.96
lake creek,fire,livestock ex,2018-07-30,Subshrub,2018,38,0,0.0
lake creek,fire,livestock ex,2018-07-30,Total,2018,38,38,234.96
lake creek,fire,livestock ex,2018-07-30,VUOC,2018,38,9,16.32
lake creek,fire,livestock ex,2019-07-31,AnnGrass,2019,48,18,30.0
lake creek,fire,livestock ex,2019-07-31,Brome,2019,48,18,29.2
lake creek,fire,livestock ex,2019-07-31,C3,2019,48,0,4.7
lake creek,fire,livestock ex,2019-07-31,C4,2019,48,20,88.7
lake creek,fire,livestock ex,2019-07-31,Forb,2019,48,10,34.0
lake creek,fire,livestock ex,2019-07-31,SD,2019,48,0,1.3
lake creek,fire,livestock ex,2019-07-31,Subshrub,2019,48,0,0.0
lake creek,fire,livestock ex,2019-07-31,Total,2019,48,48,158.70000000000005
lake creek,fire,livestock ex,2019-07-31,VUOC,2019,48,0,0.8
lake creek,fire,livestock ex,2020-08-03,AnnGrass,2020,25,6,17.3
lake creek,fire,livestock ex,2020-08-03,Brome,2020,25,6,17.3
lake creek,fire,livestock ex,2020-08-03,C3,2020,25,2,8.68
lake creek,fire,livestock ex,2020-08-03,C4,2020,25,4,26.16
lake creek,fire,livestock ex,2020-08-03,Forb,2020,25,0,0.86
lake creek,fire,livestock ex,2020-08-03,SD,2020,25,13,53.2
lake creek,fire,livestock ex,2020-08-03,Subshrub,2020,25,0,0.0
lake creek,fire,livestock ex,2020-08-03,Total,2020,25,25,106.2
lake creek,fire,livestock ex,2020-08-03,VUOC,2020,25,0,0.0
lake creek,fire,out,2017-07-20,AnnGrass,2017,25,4,6.979999999999997
lake creek,fire,out,2017-07-20,Brome,2017,25,0,3.1199999999999974
lake creek,fire,out,2017-07-20,C3,2017,25,9,75.22
lake creek,fire,out,2017-07-20,C4,2017,25,0,0.35999999999999943
lake creek,fire,out,2017-07-20,Forb,2017,25,12,53.1
lake creek,fire,out,2017-07-20,SD,2017,25,0,0.0
lake creek,fire,out,2017-07-20,Subshrub,2017,25,0,0.0
