Site,Disturbance,Exclosure,Date,FG,Year,Total Hits,hits,weight
steckley,control,out,2019-07-29,Subshrub,2019,75,0,0.0
steckley,control,out,2019-07-29,Total,2019,75,75,363.3999999999999
steckley,control,out,2019-07-29,VUOC,2019,75,0,0.0
steckley,control,out,2020-08-10,AnnGrass,2020,8,4,13.3
steckley,control,out,2020-08-10,Brome,2020,8,4,13.3
steckley,control,out,2020-08-10,C3,2020,8,1,31.2
steckley,control,out,2020-08-10,C4,2020,8,3,3.64
steckley,control,out,2020-08-10,Forb,2020,8,0,0.58
steckley,control,out,2020-08-10,SD,2020,8,0,9.0
steckley,control,out,2020-08-10,Subshrub,2020,8,0,0.0
steckley,control,out,2020-08-10,Total,2020,8,8,57.72
steckley,control,out,2020-08-10,VUOC,2020,8,0,0.0
steckley,control,ungulate ex,2017-07-17,AnnGrass,2017,0,0,0.0
steckley,control,ungulate ex,2017-07-17,Brome,2017,0,0,0.0
steckley,control,ungulate ex,2017-07-17,C3,2017,0,0,3.7600000000000016
steckley,control,ungulate ex,2017-07-17,C4,2017,0,0,31.640000000000008
steckley,control,ungulate ex,2017-07-17,Forb,2017,0,0,0.0
steckley,control,ungulate ex,2017-07-17,SD,2017,0,0,0.0
steckley,control,ungulate ex,2017-07-17,Subshrub,2017,0,0,2.400000000000002
steckley,control,ungulate ex,2017-07-17,Total,2017,0,0,37.80000000000001
steckley,control,ungulate ex,2017-07-17,VUOC,2017,0,0,0.0
steckley,control,ungulate ex,2018-07-31,AnnGrass,2018,22,0,0.16923
steckley,control,ungulate ex,2018-07-31,Brome,2018,22,0,0.16
steckley,control,ungulate ex,2018-07-31,C3,2018,22,2,23.44
steckley,control,ungulate ex,2018-07-31,C4,2018,22,20,86.06
steckley,control,ungulate ex,2018-07-31,Forb,2018,22,0,0.3
steckley,control,ungulate ex,2018-07-31,SD,2018,22,0,8.54
steckley,control,ungulate ex,2018-07-31,Subshrub,2018,22,0,0.0
steckley,control,ungulate ex,2018-07-31,Total,2018,22,22,118.50923
steckley,control,ungulate ex,2018-07-31,VUOC,2018,22,0,0.00923
steckley,control,ungulate ex,2019-07-29,AnnGrass,2019,34,0,0.08
steckley,control,ungulate ex,2019-07-29,Brome,2019,34,0,0.0
steckley,control,ungulate ex,2019-07-29,C3,2019,34,1,14.3
steckley,control,ungulate ex,2019-07-29,C4,2019,34,33,59.4
steckley,control,ungulate ex,2019-07-29,Forb,2019,34,0,1.7999999999999998
steckley,control,ungulate ex,2019-07-29,SD,2019,34,0,0.6
steckley,control,ungulate ex,2019-07-29,Subshrub,2019,34,0,0.0
steckley,control,ungulate ex,2019-07-29,Total,2019,34,34,76.18
steckley,control,ungulate ex,2019-07-29,VUOC,2019,34,0,0.08
steckley,control,ungulate ex,2020-08-10,AnnGrass,2020,8,0,0.455
steckley,control,ungulate ex,2020-08-10,Brome,2020,8,0,0.44
steckley,control,ungulate ex,2020-08-10,C3,2020,8,1,1.8
steckley,control,ungulate ex,2020-08-10,C4,2020,8,7,19.32
steckley,control,ungulate ex,2020-08-10,Forb,2020,8,0,0.0256
steckley,control,ungulate ex,2020-08-10,SD,2020,8,0,12.48
steckley,control,ungulate ex,2020-08-10,Subshrub,2020,8,0,0.0
steckley,control,ungulate ex,2020-08-10,Total,2020,8,8,34.080600000000004
steckley,control,ungulate ex,2020-08-10,VUOC,2020,8,0,0.015
steckley,fire,livestock ex,2017-07-17,AnnGrass,2017,2,0,40.31999999999999
steckley,fire,livestock ex,2017-07-17,Brome,2017,2,0,40.31999999999999
steckley,fire,livestock ex,2017-07-17,C3,2017,2,2,47.519999999999996
steckley,fire,livestock ex,2017-07-17,C4,2017,2,0,148.06
steckley,fire,livestock ex,2017-07-17,Forb,2017,2,0,0.0
steckley,fire,livestock ex,2017-07-17,SD,2017,2,0,0.0
steckley,fire,livestock ex,2017-07-17,Subshrub,2017,2,0,0.0
steckley,fire,livestock ex,2017-07-17,Total,2017,2,2,235.89999999999998
steckley,fire,livestock ex,2017-07-17,VUOC,2017,2,0,0.0
steckley,fire,livestock ex,2018-07-31,AnnGrass,2018,49,6,60.02
steckley,fire,livestock ex,2018-07-31,Brome,2018,49,6,59.24
steckley,fire,livestock ex,2018-07-31,C3,2018,49,7,24.74
steckley,fire,livestock ex,2018-07-31,C4,2018,49,29,102.5
steckley,fire,livestock ex,2018-07-31,Forb,2018,49,1,14.18
steckley,fire,livestock ex,2018-07-31,SD,2018,49,6,74.92
steckley,fire,livestock ex,2018-07-31,Subshrub,2018,49,0,0.0
steckley,fire,livestock ex,2018-07-31,Total,2018,49,49,276.36
steckley,fire,livestock ex,2018-07-31,VUOC,2018,49,0,0.78
steckley,fire,livestock ex,2019-07-30,AnnGrass,2019,39,24,94.89999999999999
steckley,fire,livestock ex,2019-07-30,Brome,2019,39,24,94.3
steckley,fire,livestock ex,2019-07-30,C3,2019,39,3,10.4
steckley,fire,livestock ex,2019-07-30,C4,2019,39,11,62.3
steckley,fire,livestock ex,2019-07-30,Forb,2019,39,1,10.5
steckley,fire,livestock ex,2019-07-30,SD,2019,39,0,2.1
steckley,fire,livestock ex,2019-07-30,Subshrub,2019,39,0,0.0
steckley,fire,livestock ex,2019-07-30,Total,2019,39,39,180.2
steckley,fire,livestock ex,2019-07-30,VUOC,2019,39,0,0.6
steckley,fire,out,2017-07-17,AnnGrass,2017,8,0,0.5800000000000001
steckley,fire,out,2017-07-17,Brome,2017,8,0,0.5800000000000001
steckley,fire,out,2017-07-17,C3,2017,8,8,53.6
steckley,fire,out,2017-07-17,C4,2017,8,0,99.63999999999999
steckley,fire,out,2017-07-17,Forb,2017,8,0,0.0
steckley,fire,out,2017-07-17,SD,2017,8,0,0.0
steckley,fire,out,2017-07-17,Subshrub,2017,8,0,0.0
steckley,fire,out,2017-07-17,Total,2017,8,8,153.82
steckley,fire,out,2017-07-17,VUOC,2017,8,0,0.0
steckley,fire,out,2018-07-31,AnnGrass,2018,62,0,72.84
steckley,fire,out,2018-07-31,Brome,2018,62,0,72.58
steckley,fire,out,2018-07-31,C3,2018,62,7,118.46
steckley,fire,out,2018-07-31,C4,2018,62,47,20.46
steckley,fire,out,2018-07-31,Forb,2018,62,0,12.3
steckley,fire,out,2018-07-31,SD,2018,62,8,67.9
steckley,fire,out,2018-07-31,Subshrub,2018,62,0,0.0
steckley,fire,out,2018-07-31,Total,2018,62,62,291.96000000000004
steckley,fire,out,2018-07-31,VUOC,2018,62,0,0.26
steckley,fire,out,2019-07-30,AnnGrass,2019,22,9,20.7
steckley,fire,out,2019-07-30,Brome,2019,22,9,20.7
steckley,fire,out,2019-07-30,C3,2019,22,5,30.7
steckley,fire,out,2019-07-30,C4,2019,22,7,37.9
steckley,fire,out,2019-07-30,Forb,2019,22,1,6.72
steckley,fire,out,2019-07-30,SD,2019,22,0,0.3
steckley,fire,out,2019-07-30,Subshrub,2019,22,0,0.0
steckley,fire,out,2019-07-30,Total,2019,22,22,96.32
steckley,fire,out,2019-07-30,VUOC,2019,22,0,0.0
steckley,fire,ungulate ex,2017-07-17,AnnGrass,2017,21,8,33.440000000000005
steckley,fire,ungulate ex,2017-07-17,Brome,2017,21,8,33.440000000000005
steckley,fire,ungulate ex,2017-07-17,C3,2017,21,13,229.26000000000002
steckley,fire,ungulate ex,2017-07-17,C4,2017,21,0,0.0
steckley,fire,ungulate ex,2017-07-17,Forb,2017,21,0,1.3600000000000012
steckley,fire,ungulate ex,2017-07-17,SD,2017,21,0,0.0
steckley,fire,ungulate ex,2017-07-17,Subshrub,2017,21,0,0.0
steckley,fire,ungulate ex,2017-07-17,Total,2017,21,21,264.06000000000006
steckley,fire,ungulate ex,2017-07-17,VUOC,2017,21,0,0.0
steckley,fire,ungulate ex,2018-07-31,AnnGrass,2018,50,37,114.67999999999999
steckley,fire,ungulate ex,2018-07-31,Brome,2018,50,37,113.94
steckley,fire,ungulate ex,2018-07-31,C3,2018,50,0,7.44
steckley,fire,ungulate ex,2018-07-31,C4,2018,50,12,58.88
steckley,fire,ungulate ex,2018-07-31,Forb,2018,50,1,8.36
steckley,fire,ungulate ex,2018-07-31,SD,2018,50,0,42.04
steckley,fire,ungulate ex,2018-07-31,Subshrub,2018,50,0,0.0
steckley,fire,ungulate ex,2018-07-31,Total,2018,50,50,231.4
steckley,fire,ungulate ex,2018-07-31,VUOC,2018,50,0,0.74
steckley,fire,ungulate ex,2019-07-30,AnnGrass,2019,74,21,45.1
steckley,fire,ungulate ex,2019-07-30,Brome,2019,74,21,45.1
steckley,fire,ungulate ex,2019-07-30,C3,2019,74,47,384.0
steckley,fire,ungulate ex,2019-07-30,C4,2019,74,0,13.6
steckley,fire,ungulate ex,2019-07-30,Forb,2019,74,6,4.1
steckley,fire,ungulate ex,2019-07-30,SD,2019,74,0,0.26
steckley,fire,ungulate ex,2019-07-30,Subshrub,2019,74,0,0.0
steckley,fire,ungulate ex,2019-07-30,Total,2019,74,74,447.06
steckley,fire,ungulate ex,2019-07-30,VUOC,2019,74,0,0.0
steckley,prairie dog,livestock ex,2017-07-17,AnnGrass,2017,24,0,0.0
steckley,prairie dog,livestock ex,2017-07-17,Brome,2017,24,0,0.0
steckley,prairie dog,livestock ex,2017-07-17,C3,2017,24,24,90.91999999999999
steckley,prairie dog,livestock ex,2017-07-17,C4,2017,24,0,0.0
steckley,prairie dog,livestock ex,2017-07-17,Forb,2017,24,0,1.42
steckley,prairie dog,livestock ex,2017-07-17,SD,2017,24,0,0.0
steckley,prairie dog,livestock ex,2017-07-17,Subshrub,2017,24,0,0.0
steckley,prairie dog,livestock ex,2017-07-17,Total,2017,24,24,92.33999999999999
steckley,prairie dog,livestock ex,2017-07-17,VUOC,2017,24,0,0.0
steckley,prairie dog,livestock ex,2018-07-31,AnnGrass,2018,22,0,0.04
steckley,prairie dog,livestock ex,2018-07-31,Brome,2018,22,0,0.0
steckley,prairie dog,livestock ex,2018-07-31,C3,2018,22,19,246.12
steckley,prairie dog,livestock ex,2018-07-31,C4,2018,22,0,0.0
steckley,prairie dog,livestock ex,2018-07-31,Forb,2018,22,3,4.98
steckley,prairie dog,livestock ex,2018-07-31,SD,2018,22,0,0.52
steckley,prairie dog,livestock ex,2018-07-31,Subshrub,2018,22,0,0.0
steckley,prairie dog,livestock ex,2018-07-31,Total,2018,22,22,251.66
steckley,prairie dog,livestock ex,2018-07-31,VUOC,2018,22,0,0.04
steckley,prairie dog,livestock ex,2019-07-29,AnnGrass,2019,66,0,0.92
steckley,prairie dog,livestock ex,2019-07-29,Brome,2019,66,0,0.9
steckley,prairie dog,livestock ex,2019-07-29,C3,2019,66,55,430.2
steckley,prairie dog,livestock ex,2019-07-29,C4,2019,66,0,0.2
steckley,prairie dog,livestock ex,2019-07-29,Forb,2019,66,9,12.8
steckley,prairie dog,livestock ex,2019-07-29,SD,2019,66,2,0.5
steckley,prairie dog,livestock ex,2019-07-29,Subshrub,2019,66,0,0.0
steckley,prairie dog,livestock ex,2019-07-29,Total,2019,66,66,444.6199999999999
steckley,prairie dog,livestock ex,2019-07-29,VUOC,2019,66,0,0.02
steckley,prairie dog,livestock ex,2020-08-10,AnnGrass,2020,56,0,0.0
steckley,prairie dog,livestock ex,2020-08-10,Brome,2020,56,0,0.0
steckley,prairie dog,livestock ex,2020-08-10,C3,2020,56,10,29.5
steckley,prairie dog,livestock ex,2020-08-10,C4,2020,56,0,0.0
steckley,prairie dog,livestock ex,2020-08-10,Forb,2020,56,0,0.0
steckley,prairie dog,livestock ex,2020-08-10,SD,2020,56,46,78.18
steckley,prairie dog,livestock ex,2020-08-10,Subshrub,2020,56,0,0.0
steckley,prairie dog,livestock ex,2020-08-10,Total,2020,56,56,107.68
steckley,prairie dog,livestock ex,2020-08-10,VUOC,2020,56,0,0.0
steckley,prairie dog,out,2017-07-17,AnnGrass,2017,25,0,0.0
steckley,prairie dog,out,2017-07-17,Brome,2017,25,0,0.0
steckley,prairie dog,out,2017-07-17,C3,2017,25,25,141.34
steckley,prairie dog,out,2017-07-17,C4,2017,25,0,0.2799999999999976
steckley,prairie dog,out,2017-07-17,Forb,2017,25,0,0.29999999999999716
steckley,prairie dog,out,2017-07-17,SD,2017,25,0,0.0
steckley,prairie dog,out,2017-07-17,Subshrub,2017,25,0,0.0
steckley,prairie dog,out,2017-07-17,Total,2017,25,25,141.92000000000002
steckley,prairie dog,out,2017-07-17,VUOC,2017,25,0,0.0
steckley,prairie dog,out,2018-07-31,AnnGrass,2018,19,0,0.0
steckley,prairie dog,out,2018-07-31,Brome,2018,19,0,0.0
steckley,prairie dog,out,2018-07-31,C3,2018,19,18,267.36
steckley,prairie dog,out,2018-07-31,C4,2018,19,0,0.0
steckley,prairie dog,out,2018-07-31,Forb,2018,19,1,6.14
steckley,prairie dog,out,2018-07-31,SD,2018,19,0,2.22
steckley,prairie dog,out,2018-07-31,Subshrub,2018,19,0,0.0
steckley,prairie dog,out,2018-07-31,Total,2018,19,19,275.72
steckley,prairie dog,out,2018-07-31,VUOC,2018,19,0,0.0
steckley,prairie dog,out,2019-07-29,AnnGrass,2019,28,0,4.3
steckley,prairie dog,out,2019-07-29,Brome,2019,28,0,4.3
steckley,prairie dog,out,2019-07-29,C3,2019,28,26,423.6
steckley,prairie dog,out,2019-07-29,C4,2019,28,0,0.14
steckley,prairie dog,out,2019-07-29,Forb,2019,28,2,4.92
steckley,prairie dog,out,2019-07-29,SD,2019,28,0,1.2
steckley,prairie dog,out,2019-07-29,Subshrub,2019,28,0,0.0
steckley,prairie dog,out,2019-07-29,Total,2019,28,28,434.15999999999997
steckley,prairie dog,out,2019-07-29,VUOC,2019,28,0,0.0
steckley,prairie dog,out,2020-08-10,AnnGrass,2020,31,0,0.0
steckley,prairie dog,out,2020-08-10,Brome,2020,31,0,0.0
steckley,prairie dog,out,2020-08-10,C3,2020,31,8,62.2
steckley,prairie dog,out,2020-08-10,C4,2020,31,0,0.0
steckley,prairie dog,out,2020-08-10,Forb,2020,31,3,1.54
steckley,prairie dog,out,2020-08-10,SD,2020,31,20,91.82
steckley,prairie dog,out,2020-08-10,Subshrub,2020,31,0,0.0
steckley,prairie dog,out,2020-08-10,Total,2020,31,31,155.56
steckley,prairie dog,out,2020-08-10,VUOC,2020,31,0,0.0
steckley,prairie dog,ungulate ex,2017-07-17,AnnGrass,2017,19,0,0.0
steckley,prairie dog,ungulate ex,2017-07-17,Brome,2017,19,0,0.0
steckley,prairie dog,ungulate ex,2017-07-17,C3,2017,19,19,205.64
steckley,prairie dog,ungulate ex,2017-07-17,C4,2017,19,0,0.0
steckley,prairie dog,ungulate ex,2017-07-17,Forb,2017,19,0,0.0
steckley,prairie dog,ungulate ex,2017-07-17,SD,2017,19,0,0.0
steckley,prairie dog,ungulate ex,2017-07-17,Subshrub,2017,19,0,0.0
steckley,prairie dog,ungulate ex,2017-07-17,Total,2017,19,19,205.64
steckley,prairie dog,ungulate ex,2017-07-17,VUOC,2017,19,0,0.0
steckley,prairie dog,ungulate ex,2018-07-31,AnnGrass,2018,34,0,0.0
steckley,prairie dog,ungulate ex,2018-07-31,Brome,2018,34,0,0.0
steckley,prairie dog,ungulate ex,2018-07-31,C3,2018,34,17,299.8
steckley,prairie dog,ungulate ex,2018-07-31,C4,2018,34,0,0.0
steckley,prairie dog,ungulate ex,2018-07-31,Forb,2018,34,17,13.1
steckley,prairie dog,ungulate ex,2018-07-31,SD,2018,34,0,11.12
steckley,prairie dog,ungulate ex,2018-07-31,Subshrub,2018,34,0,0.0
steckley,prairie dog,ungulate ex,2018-07-31,Total,2018,34,34,324.02000000000004
steckley,prairie dog,ungulate ex,2018-07-31,VUOC,2018,34,0,0.0
steckley,prairie dog,ungulate ex,2019-07-29,AnnGrass,2019,69,0,0.0
steckley,prairie dog,ungulate ex,2019-07-29,Brome,2019,69,0,0.0
steckley,prairie dog,ungulate ex,2019-07-29,C3,2019,69,52,426.2
steckley,prairie dog,ungulate ex,2019-07-29,C4,2019,69,0,0.6
steckley,prairie dog,ungulate ex,2019-07-29,Forb,2019,69,8,55.6
steckley,prairie dog,ungulate ex,2019-07-29,SD,2019,69,9,3.2
steckley,prairie dog,ungulate ex,2019-07-29,Subshrub,2019,69,0,0.0
steckley,prairie dog,ungulate ex,2019-07-29,Total,2019,69,69,485.6
steckley,prairie dog,ungulate ex,2019-07-29,VUOC,2019,69,0,0.0
steckley,prairie dog,ungulate ex,2020-08-10,AnnGrass,2020,21,0,0.0
steckley,prairie dog,ungulate ex,2020-08-10,Brome,2020,21,0,0.0
steckley,prairie dog,ungulate ex,2020-08-10,C3,2020,21,12,59.72
steckley,prairie dog,ungulate ex,2020-08-10,C4,2020,21,0,0.0
steckley,prairie dog,ungulate ex,2020-08-10,Forb,2020,21,2,6.7
steckley,prairie dog,ungulate ex,2020-08-10,SD,2020,21,7,15.58
steckley,prairie dog,ungulate ex,2020-08-10,Subshrub,2020,21,0,0.0
steckley,prairie dog,ungulate ex,2020-08-10,Total,2020,21,21,82.0
steckley,prairie dog,ungulate ex,2020-08-10,VUOC,2020,21,0,0.0
west fork,control,livestock ex,2017-07-19,AnnGrass,2017,20,1,2.5600000000000023
west fork,control,livestock ex,2017-07-19,Brome,2017,20,1,2.5600000000000023
west fork,control,livestock ex,2017-07-19,C3,2017,20,17,87.97999999999999
west fork,control,livestock ex,2017-07-19,C4,2017,20,0,9.120000000000001
west fork,control,livestock ex,2017-07-19,Forb,2017,20,2,9.879999999999999
west fork,control,livestock ex,2017-07-19,SD,2017,20,0,0.0
west fork,control,livestock ex,2017-07-19,Subshrub,2017,20,0,53.379999999999995
west fork,control,livestock ex,2017-07-19,Total,2017,20,20,162.92
west fork,control,livestock ex,2017-07-19,VUOC,2017,20,0,0.0
west fork,control,livestock ex,2018-08-01,AnnGrass,2018,23,12,51.42
west fork,control,livestock ex,2018-08-01,Brome,2018,23,12,51.42
west fork,control,livestock ex,2018-08-01,C3,2018,23,2,103.94
west fork,control,livestock ex,2018-08-01,C4,2018,23,4,6.82
west fork,control,livestock ex,2018-08-01,Forb,2018,23,4,24.28
west fork,control,livestock ex,2018-08-01,SD,2018,23,0,59.92
west fork,control,livestock ex,2018-08-01,Subshrub,2018,23,0,0.04
west fork,control,livestock ex,2018-08-01,Total,2018,23,22,246.42000000000002
west fork,control,livestock ex,2018-08-01,VUOC,2018,23,0,0.0
west fork,control,livestock ex,2019-08-07,AnnGrass,2019,29,18,7.9
west fork,control,livestock ex,2019-08-07,Brome,2019,29,18,7.9
west fork,control,livestock ex,2019-08-07,C3,2019,29,4,78.1
west fork,control,livestock ex,2019-08-07,C4,2019,29,0,0.0
west fork,control,livestock ex,2019-08-07,Forb,2019,29,2,34.1
west fork,control,livestock ex,2019-08-07,SD,2019,29,2,22.8
west fork,control,livestock ex,2019-08-07,Subshrub,2019,29,3,0.2
west fork,control,livestock ex,2019-08-07,Total,2019,29,29,143.1
west fork,control,livestock ex,2019-08-07,VUOC,2019,29,0,0.0
west fork,control,livestock ex,2020-08-05,AnnGrass,2020,17,8,52.1
west fork,control,livestock ex,2020-08-05,Brome,2020,17,8,52.1
west fork,control,livestock ex,2020-08-05,C3,2020,17,0,3.96
west fork,control,livestock ex,2020-08-05,C4,2020,17,0,0.0
west fork,control,livestock ex,2020-08-05,Forb,2020,17,1,5.3
west fork,control,livestock ex,2020-08-05,SD,2020,17,7,67.7
west fork,control,livestock ex,2020-08-05,Subshrub,2020,17,1,28.3
west fork,control,livestock ex,2020-08-05,Total,2020,17,17,157.36
west fork,control,livestock ex,2020-08-05,VUOC,2020,17,0,0.0
west fork,control,out,2017-07-19,AnnGrass,2017,26,0,1.799999999999999
west fork,control,out,2017-07-19,Brome,2017,26,0,1.4399999999999977
west fork,control,out,2017-07-19,C3,2017,26,16,93.18
west fork,control,out,2017-07-19,C4,2017,26,0,1.8000000000000007
west fork,control,out,2017-07-19,Forb,2017,26,0,0.9000000000000004
west fork,control,out,2017-07-19,SD,2017,26,0,0.0
west fork,control,out,2017-07-19,Subshrub,2017,26,10,88.16
west fork,control,out,2017-07-19,Total,2017,26,26,185.84
west fork,control,out,2017-07-19,VUOC,2017,26,0,0.3600000000000012
west fork,control,out,2018-08-01,AnnGrass,2018,16,3,9.08
west fork,control,out,2018-08-01,Brome,2018,16,3,8.88
west fork,control,out,2018-08-01,C3,2018,16,13,95.36
west fork,control,out,2018-08-01,C4,2018,16,0,23.88
west fork,control,out,2018-08-01,Forb,2018,16,0,5.24
west fork,control,out,2018-08-01,SD,2018,16,0,44.8
west fork,control,out,2018-08-01,Subshrub,2018,16,0,9.1
west fork,control,out,2018-08-01,Total,2018,16,16,187.45999999999998
west fork,control,out,2018-08-01,VUOC,2018,16,0,0.2
west fork,control,out,2019-08-07,AnnGrass,2019,14,0,0.5
west fork,control,out,2019-08-07,Brome,2019,14,0,0.5
west fork,control,out,2019-08-07,C3,2019,14,12,116.3
west fork,control,out,2019-08-07,C4,2019,14,1,17.8
west fork,control,out,2019-08-07,Forb,2019,14,1,3.5
west fork,control,out,2019-08-07,SD,2019,14,0,71.2
west fork,control,out,2019-08-07,Subshrub,2019,14,0,22.8
west fork,control,out,2019-08-07,Total,2019,14,14,232.10000000000002
west fork,control,out,2019-08-07,VUOC,2019,14,0,0.0
west fork,control,out,2020-08-05,AnnGrass,2020,15,1,6.8344
west fork,control,out,2020-08-05,Brome,2020,15,1,6.76
west fork,control,out,2020-08-05,C3,2020,15,8,51.4
west fork,control,out,2020-08-05,C4,2020,15,0,4.7
west fork,control,out,2020-08-05,Forb,2020,15,0,0.54
west fork,control,out,2020-08-05,SD,2020,15,6,48.28
west fork,control,out,2020-08-05,Subshrub,2020,15,0,0.76
west fork,control,out,2020-08-05,Total,2020,15,15,112.5144
west fork,control,out,2020-08-05,VUOC,2020,15,0,0.0744
west fork,control,ungulate ex,2017-07-19,AnnGrass,2017,22,0,6.4399999999999995
west fork,control,ungulate ex,2017-07-19,Brome,2017,22,0,6.379999999999999
west fork,control,ungulate ex,2017-07-19,C3,2017,22,7,80.6
west fork,control,ungulate ex,2017-07-19,C4,2017,22,15,14.060000000000002
west fork,control,ungulate ex,2017-07-19,Forb,2017,22,0,0.9000000000000004
west fork,control,ungulate ex,2017-07-19,SD,2017,22,0,0.0
west fork,control,ungulate ex,2017-07-19,Subshrub,2017,22,0,0.0
west fork,control,ungulate ex,2017-07-19,Total,2017,22,22,102.0
west fork,control,ungulate ex,2017-07-19,VUOC,2017,22,0,0.0600000000000005
west fork,control,ungulate ex,2018-08-01,AnnGrass,2018,20,0,0.19999999999999998
west fork,control,ungulate ex,2018-08-01,Brome,2018,20,0,0.18
west fork,control,ungulate ex,2018-08-01,C3,2018,20,8,51.5
west fork,control,ungulate ex,2018-08-01,C4,2018,20,2,11.2
west fork,control,ungulate ex,2018-08-01,Forb,2018,20,0,1.24
west fork,control,ungulate ex,2018-08-01,SD,2018,20,0,14.1
west fork,control,ungulate ex,2018-08-01,Subshrub,2018,20,0,44.1
west fork,control,ungulate ex,2018-08-01,Total,2018,20,10,122.34
west fork,control,ungulate ex,2018-08-01,VUOC,2018,20,0,0.02
west fork,control,ungulate ex,2019-08-07,AnnGrass,2019,27,1,0.02
west fork,control,ungulate ex,2019-08-07,Brome,2019,27,1,0.0
west fork,control,ungulate ex,2019-08-07,C3,2019,27,0,0.0
west fork,control,ungulate ex,2019-08-07,C4,2019,27,0,6.2
west fork,control,ungulate ex,2019-08-07,Forb,2019,27,3,3.0
west fork,control,ungulate ex,2019-08-07,SD,2019,27,5,21.0
west fork,control,ungulate ex,2019-08-07,Subshrub,2019,27,3,0.0
west fork,control,ungulate ex,2019-08-07,Total,2019,27,12,30.22
west fork,control,ungulate ex,2019-08-07,VUOC,2019,27,0,0.02
west fork,control,ungulate ex,2020-08-05,AnnGrass,2020,10,2,11.5364
west fork,control,ungulate ex,2020-08-05,Brome,2020,10,2,11.22
west fork,control,ungulate ex,2020-08-05,C3,2020,10,2,24.44
west fork,control,ungulate ex,2020-08-05,C4,2020,10,3,4.7
west fork,control,ungulate ex,2020-08-05,Forb,2020,10,0,
west fork,control,ungulate ex,2020-08-05,SD,2020,10,2,58.2
west fork,control,ungulate ex,2020-08-05,Subshrub,2020,10,1,22.1
west fork,control,ungulate ex,2020-08-05,Total,2020,10,10,121.57640000000002
west fork,control,ungulate ex,2020-08-05,VUOC,2020,10,0,0.3164
west fork,fire,livestock ex,2017-07-19,AnnGrass,2017,19,0,0.0
west fork,fire,livestock ex,2017-07-19,Brome,2017,19,0,0.0
west fork,fire,livestock ex,2017-07-19,C3,2017,19,19,115.9
west fork,fire,livestock ex,2017-07-19,C4,2017,19,0,13.280000000000001
west fork,fire,livestock ex,2017-07-19,Forb,2017,19,0,10.0
west fork,fire,livestock ex,2017-07-19,SD,2017,19,0,0.0
west fork,fire,livestock ex,2017-07-19,Subshrub,2017,19,0,0.0
west fork,fire,livestock ex,2017-07-19,Total,2017,19,19,139.18
west fork,fire,livestock ex,2017-07-19,VUOC,2017,19,0,0.0
west fork,fire,livestock ex,2018-08-01,AnnGrass,2018,10,0,0.0
west fork,fire,livestock ex,2018-08-01,Brome,2018,10,0,0.0
west fork,fire,livestock ex,2018-08-01,C3,2018,10,7,107.24
west fork,fire,livestock ex,2018-08-01,C4,2018,10,0,1.44
west fork,fire,livestock ex,2018-08-01,Forb,2018,10,3,98.24
west fork,fire,livestock ex,2018-08-01,SD,2018,10,0,27.06
west fork,fire,livestock ex,2018-08-01,Subshrub,2018,10,0,1.86
west fork,fire,livestock ex,2018-08-01,Total,2018,10,10,235.84
west fork,fire,livestock ex,2018-08-01,VUOC,2018,10,0,0.0
west fork,fire,livestock ex,2019-08-07,AnnGrass,2019,23,0,0.3
west fork,fire,livestock ex,2019-08-07,Brome,2019,23,0,0.3
west fork,fire,livestock ex,2019-08-07,C3,2019,23,20,153.8
west fork,fire,livestock ex,2019-08-07,C4,2019,23,0,0.0
west fork,fire,livestock ex,2019-08-07,Forb,2019,23,3,10.5
west fork,fire,livestock ex,2019-08-07,SD,2019,23,0,34.1
west fork,fire,livestock ex,2019-08-07,Subshrub,2019,23,0,0.0
west fork,fire,livestock ex,2019-08-07,Total,2019,23,23,198.70000000000002
west fork,fire,livestock ex,2019-08-07,VUOC,2019,23,0,0.0
west fork,fire,livestock ex,2020-08-05,AnnGrass,2020,24,5,3.18
west fork,fire,livestock ex,2020-08-05,Brome,2020,24,5,3.18
west fork,fire,livestock ex,2020-08-05,C3,2020,24,17,78.8
west fork,fire,livestock ex,2020-08-05,C4,2020,24,2,2.14
west fork,fire,livestock ex,2020-08-05,Forb,2020,24,0,1.06
west fork,fire,livestock ex,2020-08-05,SD,2020,24,0,70.1
west fork,fire,livestock ex,2020-08-05,Subshrub,2020,24,0,0.0
west fork,fire,livestock ex,2020-08-05,Total,2020,24,24,155.27999999999997
west fork,fire,livestock ex,2020-08-05,VUOC,2020,24,0,0.0
west fork,fire,out,2017-07-19,AnnGrass,2017,17,0,1.1400000000000006
west fork,fire,out,2017-07-19,Brome,2017,17,0,1.1400000000000006
west fork,fire,out,2017-07-19,C3,2017,17,13,94.78
west fork,fire,out,2017-07-19,C4,2017,17,0,10.5
west fork,fire,out,2017-07-19,Forb,2017,17,4,11.260000000000002
west fork,fire,out,2017-07-19,SD,2017,17,0,0.0
west fork,fire,out,2017-07-19,Subshrub,2017,17,0,0.0
west fork,fire,out,2017-07-19,Total,2017,17,17,117.68
west fork,fire,out,2017-07-19,VUOC,2017,17,0,0.0
west fork,fire,out,2018-08-01,AnnGrass,2018,24,4,19.98
west fork,fire,out,2018-08-01,Brome,2018,24,4,19.98
west fork,fire,out,2018-08-01,C3,2018,24,9,142.38
west fork,fire,out,2018-08-01,C4,2018,24,11,7.42
