,model,numb_vars,formula,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean|,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_mean,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
0,projyear,2,"np.power(bm, 0.5) ~ dfi + bai_246 + dfi:bai_246",0.2566,0.2536,5546.9493,741.2825,36.3569,0.3666,0.6033,0.0296,0.6396,,20.3356,,,,,,,522.2386,1.1349,1.2978,551.3926,579.8594,0.4487,0.0165,0.4719
0,projyear,2,"np.power(bm, 0.5) ~ ndvi + satvi + ndvi:satvi",0.466,0.4639,5300.1083,637.0165,47.11,0.2519,0.5184,0.0383,0.5563,,24.2795,,,,,,,434.9465,0.9435,0.858,465.8492,494.9844,0.3791,0.0198,0.4028
0,projyear,2,"np.power(bm, 0.5) ~ ndvi + nir + ndvi:nir",0.4671,0.465,5298.5898,640.3179,52.4814,0.2506,0.5211,0.0427,0.5745,,26.6051,,,,,,,426.205,0.9235,0.8563,463.9864,501.9616,0.3776,0.0217,0.4085
0,projyear,2,"np.power(bm, 0.5) ~ ndvi + bai_126 + ndvi:bai_126",0.463,0.4608,5304.3922,640.1606,47.8762,0.2541,0.521,0.039,0.5652,,23.3958,,,,,,,414.0494,0.8977,0.8739,461.4496,496.5306,0.3755,0.019,0.4041
0,projyear,2,"np.power(bm, 0.5) ~ ndvi + bai_136 + ndvi:bai_136",0.4554,0.4532,5314.7754,645.8714,46.86,0.2564,0.5256,0.0381,0.5685,,23.5715,,,,,,,429.5211,0.9317,0.8739,468.3406,501.0896,0.3811,0.0192,0.4078
0,projyear,2,"np.power(bm, 0.5) ~ ndvi + bai_246 + ndvi:bai_246",0.46,0.4578,5308.4656,648.1598,52.9595,0.2536,0.5275,0.0431,0.5741,,26.4285,,,,,,,426.8371,0.9251,0.8636,467.3979,507.3032,0.3804,0.0215,0.4129
0,projyear,2,"np.power(bm, 0.5) ~ ndti + ndii7 + ndti:ndii7",0.4017,0.3993,5384.9096,671.3279,52.656,0.2881,0.5463,0.0429,0.6007,,26.5488,,,,,,,461.5614,1.0041,0.9961,489.2063,533.9441,0.3981,0.0216,0.4345
0,projyear,2,"np.power(bm, 0.5) ~ ndti + nir + ndti:nir",0.2961,0.2933,5506.198,723.805,62.3645,0.3421,0.589,0.0508,0.6569,,33.0268,,,,,,,518.1702,1.1261,1.2127,533.2854,589.4972,0.434,0.0269,0.4797
0,projyear,2,"np.power(bm, 0.5) ~ ndti + swir1 + ndti:swir1",0.4842,0.4822,5274.2146,625.2334,59.4752,0.2426,0.5088,0.0484,0.5772,,33.8132,,,,,,,447.4942,0.969,0.8425,457.6809,494.2085,0.3725,0.0275,0.4022
0,projyear,2,"np.power(bm, 0.5) ~ ndti + bai_126 + ndti:bai_126",0.2946,0.2917,5507.825,721.6167,55.743,0.3455,0.5873,0.0454,0.6497,,29.4479,,,,,,,515.7862,1.1217,1.2251,532.2894,581.7364,0.4332,0.024,0.4734
