index,model,numb_vars,formula,project,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean|,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_mean,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
440,Project,4,np.log(bm) ~ dfi + ndti + nir + bai_236 + dfi:ndti + dfi:nir + dfi:bai_236 + ndti:nir + ndti:bai_236 + nir:bai_236,FIRE,0.2977,0.2088,83.806,125.7563,26.0356,0.0974,0.4077,0.0844,0.5338,,13.393,0.3121,0.0414,0.4022,0.0686,0.0712,0.0121,125.7563,0.4081,0.0974,91.6046,109.3476,0.297,0.0434,0.3545
441,Project,4,np.log(bm) ~ dfi + ndti + nir + bai_246 + dfi:ndti + dfi:nir + dfi:bai_246 + ndti:nir + ndti:bai_246 + nir:bai_246,FIRE,0.2832,0.1924,85.6535,118.2191,26.1906,0.102,0.3833,0.0849,0.4778,,15.5166,0.3111,0.0462,0.3999,0.0687,0.0708,0.0122,118.2191,0.3839,0.102,89.5787,116.3181,0.2904,0.0503,0.3771
442,Project,4,np.log(bm) ~ dfi + ndti + swir1 + bai_126 + dfi:ndti + dfi:swir1 + dfi:bai_126 + ndti:swir1 + ndti:bai_126 + swir1:bai_126,FIRE,0.2709,0.1787,87.1748,120.5088,28.5657,0.1004,0.3907,0.0926,0.5183,,19.1686,0.3167,0.0611,0.3992,0.0833,0.0706,0.0147,120.5088,0.3912,0.1004,92.7423,117.7658,0.3007,0.0622,0.3818
443,Project,4,np.log(bm) ~ dfi + ndti + swir1 + bai_136 + dfi:ndti + dfi:swir1 + dfi:bai_136 + ndti:swir1 + ndti:bai_136 + swir1:bai_136,FIRE,0.3137,0.2268,81.7386,109.2188,16.3657,0.073,0.3541,0.0531,0.4396,,11.4849,0.2979,0.0409,0.3746,0.0572,0.0663,0.0101,109.2188,0.3538,0.073,85.177,104.8132,0.2762,0.0372,0.3398
444,Project,4,np.log(bm) ~ dfi + ndti + swir1 + bai_236 + dfi:ndti + dfi:swir1 + dfi:bai_236 + ndti:swir1 + ndti:bai_236 + swir1:bai_236,FIRE,0.3492,0.2668,76.957,121.9695,40.1575,0.0794,0.3955,0.1302,0.6544,,29.5836,0.2945,0.0731,0.3781,0.0754,0.0669,0.0133,121.9695,0.394,0.0794,89.5649,148.3906,0.2904,0.0959,0.4811
445,Project,4,np.log(bm) ~ dfi + ndti + swir1 + bai_246 + dfi:ndti + dfi:swir1 + dfi:bai_246 + ndti:swir1 + ndti:bai_246 + swir1:bai_246,FIRE,0.2744,0.1825,86.7531,119.5286,26.2438,0.1078,0.3875,0.0851,0.4875,,16.7648,0.3156,0.0505,0.4034,0.0763,0.0714,0.0135,119.5286,0.3877,0.1078,91.6546,120.6341,0.2972,0.0544,0.3911
446,Project,4,np.log(bm) ~ dfi + ndti + bai_126 + bai_136 + dfi:ndti + dfi:bai_126 + dfi:bai_136 + ndti:bai_126 + ndti:bai_136 + bai_126:bai_136,FIRE,0.2829,0.1921,85.686,118.1002,20.9065,0.0845,0.3829,0.0678,0.4735,,16.566,0.312,0.0542,0.3944,0.0681,0.0698,0.0121,118.1002,0.3825,0.0845,90.1826,118.3698,0.2924,0.0537,0.3838
447,Project,4,np.log(bm) ~ dfi + ndti + bai_126 + bai_236 + dfi:ndti + dfi:bai_126 + dfi:bai_236 + ndti:bai_126 + ndti:bai_236 + bai_126:bai_236,FIRE,0.2919,0.2022,84.5528,117.274,21.8068,0.0889,0.3802,0.0707,0.4575,,16.4693,0.3049,0.052,0.3853,0.0673,0.0682,0.0119,117.274,0.3798,0.0889,89.0767,114.1174,0.2888,0.0534,0.37
448,Project,4,np.log(bm) ~ dfi + ndti + bai_126 + bai_246 + dfi:ndti + dfi:bai_126 + dfi:bai_246 + ndti:bai_126 + ndti:bai_246 + bai_126:bai_246,FIRE,0.2796,0.1884,86.1059,114.4743,20.0655,0.078,0.3712,0.0651,0.445,,15.1862,0.3106,0.0544,0.3882,0.0638,0.0687,0.0113,114.4743,0.3717,0.078,89.4404,113.6757,0.29,0.0492,0.3686
449,Project,4,np.log(bm) ~ dfi + ndti + bai_136 + bai_246 + dfi:ndti + dfi:bai_136 + dfi:bai_246 + ndti:bai_136 + ndti:bai_246 + bai_136:bai_246,FIRE,0.2978,0.2089,83.7952,115.7927,17.2748,0.0779,0.3754,0.056,0.4475,,11.8898,0.3073,0.0414,0.3862,0.0533,0.0683,0.0094,115.7927,0.3751,0.0779,88.6622,106.8795,0.2875,0.0386,0.3465
450,Project,4,np.log(bm) ~ dfi + ndti + bai_236 + bai_246 + dfi:ndti + dfi:bai_236 + dfi:bai_246 + ndti:bai_236 + ndti:bai_246 + bai_236:bai_246,FIRE,0.3309,0.2462,79.4476,126.6467,36.4038,0.1036,0.4106,0.118,0.5453,,22.9453,0.3082,0.0586,0.3927,0.0855,0.0695,0.0151,126.6467,0.4101,0.1036,93.497,131.4794,0.3031,0.0744,0.4263
451,Project,4,np.log(bm) ~ dfi + satvi + ndii7 + nir + dfi:satvi + dfi:ndii7 + dfi:nir + satvi:ndii7 + satvi:nir + ndii7:nir,FIRE,0.2862,0.1958,85.2745,116.2914,22.7475,0.0982,0.3771,0.0738,0.4626,,14.513,0.3104,0.0515,0.3917,0.0676,0.0693,0.012,116.2914,0.3778,0.0982,89.9665,113.864,0.2917,0.0471,0.3692
452,Project,4,np.log(bm) ~ dfi + satvi + ndii7 + swir1 + dfi:satvi + dfi:ndii7 + dfi:swir1 + satvi:ndii7 + satvi:swir1 + ndii7:swir1,FIRE,0.2964,0.2074,83.9732,112.7536,18.6382,0.0764,0.3656,0.0604,0.4258,,13.2207,0.3075,0.0527,0.3837,0.067,0.0679,0.0119,112.7536,0.3662,0.0764,88.5748,105.7173,0.2872,0.0429,0.3428
453,Project,4,np.log(bm) ~ dfi + satvi + ndii7 + swir2 + dfi:satvi + dfi:ndii7 + dfi:swir2 + satvi:ndii7 + satvi:swir2 + ndii7:swir2,FIRE,0.2922,0.2026,84.5112,112.5088,19.9748,0.0785,0.3648,0.0648,0.4406,,15.2547,0.3092,0.0576,0.3869,0.0671,0.0685,0.0119,112.5088,0.3651,0.0785,88.3701,112.2022,0.2865,0.0495,0.3638
454,Project,4,np.log(bm) ~ dfi + satvi + ndii7 + bai_126 + dfi:satvi + dfi:ndii7 + dfi:bai_126 + satvi:ndii7 + satvi:bai_126 + ndii7:bai_126,FIRE,0.278,0.1866,86.3028,116.4695,27.7061,0.107,0.3776,0.0898,0.518,,21.6258,0.3075,0.0641,0.3944,0.0772,0.0698,0.0137,116.4695,0.3772,0.107,89.6027,129.6505,0.2905,0.0701,0.4204
