,model,numb_vars,formula,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean|,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_mean,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
0,projyear,3,np.log(bm) ~ satvi + bai_236 + bai_246 + satvi:bai_236 + satvi:bai_246 + bai_236:bai_246,0.4004,0.3991,10156.2779,675.1878,26.0534,5.6719,0.9019,0.0348,0.9617,,4.964,1.0622,0.0429,1.4946,0.0594,0.2592,0.0103,318.9871,1.1584,9.7209,441.1261,447.2959,0.5892,0.0066,0.5975
0,projyear,3,np.log(bm) ~ ndii7 + nir + swir1 + ndii7:nir + ndii7:swir1 + nir:swir1,0.5083,0.5073,9603.3521,662.3603,38.1754,4.1963,0.8847,0.051,0.968,,14.3864,0.9748,0.0376,1.3548,0.044,0.235,0.0076,399.2901,1.4495,7.2049,427.3487,439.6788,0.5708,0.0192,0.5873
0,projyear,3,np.log(bm) ~ ndii7 + nir + swir2 + ndii7:nir + ndii7:swir2 + nir:swir2,0.5192,0.5182,9541.1243,634.061,37.5648,4.2004,0.8469,0.0502,0.9284,,13.8033,0.9581,0.0323,1.3403,0.0404,0.2324,0.007,362.2273,1.3155,7.2242,413.0111,425.5816,0.5517,0.0184,0.5685
0,projyear,3,np.log(bm) ~ ndii7 + nir + bai_136 + ndii7:nir + ndii7:bai_136 + nir:bai_136,0.4942,0.4931,9682.17,728.3817,82.4345,4.55,0.9729,0.1101,1.1544,,20.8154,0.9799,0.0451,1.3734,0.0511,0.2382,0.0089,569.4768,2.0651,7.7867,435.7076,459.1771,0.582,0.0278,0.6133
0,projyear,3,np.log(bm) ~ ndii7 + nir + bai_236 + ndii7:nir + ndii7:bai_236 + nir:bai_236,0.4964,0.4953,9669.9471,723.5788,50.968,4.4495,0.9665,0.0681,1.0815,,13.8146,0.9803,0.0384,1.3705,0.0479,0.2377,0.0083,567.9516,2.0603,7.6261,432.4757,445.2644,0.5777,0.0185,0.5948
0,projyear,3,np.log(bm) ~ ndii7 + swir1 + bai_126 + ndii7:swir1 + ndii7:bai_126 + swir1:bai_126,0.4732,0.4721,9795.4778,650.9457,46.1691,4.7945,0.8695,0.0617,0.9592,,19.5072,1.0123,0.0418,1.4039,0.0461,0.2435,0.008,375.0324,1.3622,8.2077,428.3268,454.5887,0.5721,0.0261,0.6072
0,projyear,3,np.log(bm) ~ ndii7 + swir2 + bai_126 + ndii7:swir2 + ndii7:bai_126 + swir2:bai_126,0.5124,0.5114,9580.162,648.9724,48.3298,4.2411,0.8668,0.0646,0.9537,,22.327,0.9704,0.043,1.3508,0.0435,0.2343,0.0075,376.9771,1.3693,7.2774,420.1981,452.8984,0.5613,0.0298,0.6049
0,projyear,3,np.log(bm) ~ ndii7 + bai_126 + bai_136 + ndii7:bai_126 + ndii7:bai_136 + bai_126:bai_136,0.3905,0.3892,10201.9901,684.5897,21.2362,5.543,0.9144,0.0284,0.9508,,9.2013,1.0916,0.0393,1.5078,0.0591,0.2615,0.0102,441.137,1.6016,9.4756,452.48,461.1046,0.6044,0.0123,0.6159
0,projyear,3,np.log(bm) ~ ndii7 + bai_126 + bai_236 + ndii7:bai_126 + ndii7:bai_236 + bai_126:bai_236,0.3934,0.3921,10188.7142,686.0677,19.5196,5.5395,0.9164,0.0261,0.9514,,8.2544,1.0887,0.0399,1.5045,0.059,0.2609,0.0102,430.6888,1.5639,9.4707,452.8702,459.6328,0.6049,0.011,0.6139
0,projyear,3,np.log(bm) ~ nir + swir1 + bai_246 + nir:swir1 + nir:bai_246 + swir1:bai_246,0.4947,0.4936,9679.6275,630.15,37.1816,4.6881,0.8417,0.0497,0.9225,,13.1943,0.9713,0.0387,1.3733,0.0495,0.2382,0.0086,337.8582,1.2272,8.0448,410.8441,425.4245,0.5488,0.0176,0.5683
0,projyear,3,np.log(bm) ~ nir + swir2 + bai_246 + nir:swir2 + nir:bai_246 + swir2:bai_246,0.5226,0.5216,9521.0779,635.7672,38.5882,4.418,0.8492,0.0515,0.9156,,17.8005,0.9489,0.0411,1.3352,0.0474,0.2316,0.0082,344.1243,1.2501,7.5914,413.5455,436.4617,0.5524,0.0238,0.583
0,projyear,3,np.log(bm) ~ nir + bai_136 + bai_246 + nir:bai_136 + nir:bai_246 + bai_136:bai_246,0.4966,0.4955,9669.0291,656.5925,25.1402,4.4752,0.877,0.0336,0.9138,,15.8959,0.9704,0.0412,1.3709,0.0577,0.2377,0.01,448.5571,1.6296,7.6522,421.296,435.52,0.5627,0.0212,0.5817
0,projyear,3,np.log(bm) ~ nir + bai_236 + bai_246 + nir:bai_236 + nir:bai_246 + bai_236:bai_246,0.4828,0.4817,9744.1109,631.4906,24.4326,4.5719,0.8435,0.0326,0.8982,,10.0377,0.9805,0.0338,1.389,0.0513,0.2409,0.0089,392.304,1.425,7.8393,410.0977,420.5111,0.5478,0.0134,0.5617
0,projyear,3,np.log(bm) ~ swir1 + bai_126 + bai_246 + swir1:bai_126 + swir1:bai_246 + bai_126:bai_246,0.4583,0.4571,9873.3308,899.9978,435.3393,5.1994,1.2022,0.5815,2.3569,,39.9996,1.0203,0.0477,1.4237,0.0516,0.2469,0.0089,403.1451,1.4649,8.8573,456.0593,512.1938,0.6092,0.0534,0.6842
0,projyear,3,np.log(bm) ~ swir2 + bai_126 + bai_246 + swir2:bai_126 + swir2:bai_246 + bai_126:bai_246,0.505,0.504,9622.0005,884.3181,404.685,4.3792,1.1812,0.5405,2.2531,,41.3105,0.9797,0.0482,1.361,0.0508,0.236,0.0088,409.9276,1.4893,7.4767,452.6877,510.3287,0.6047,0.0552,0.6817
0,projyear,3,np.log(bm) ~ bai_126 + bai_136 + bai_246 + bai_126:bai_136 + bai_126:bai_246 + bai_136:bai_246,0.3118,0.3103,10540.1229,712.8974,36.2209,7.5493,0.9522,0.0484,0.9977,,14.7684,1.1458,0.0396,1.6023,0.0652,0.2779,0.0113,352.746,1.2811,12.8409,472.1189,488.5755,0.6306,0.0197,0.6526
0,projyear,3,np.log(bm) ~ bai_126 + bai_236 + bai_246 + bai_126:bai_236 + bai_126:bai_246 + bai_236:bai_246,0.3207,0.3192,10504.1234,705.2799,31.2477,7.4133,0.9421,0.0417,0.9957,,11.0295,1.1401,0.0432,1.5916,0.066,0.276,0.0114,336.5547,1.2225,12.6218,469.2608,483.9709,0.6268,0.0147,0.6465
0,projyear,4,np.log(bm) ~ dfi + ndvi + satvi + nir + dfi:ndvi + dfi:satvi + dfi:nir + ndvi:satvi + ndvi:nir + satvi:nir,0.5195,0.5177,9547.4384,640.0478,53.6917,4.2674,0.8549,0.0717,0.9805,,20.1919,0.9514,0.0458,1.3402,0.0547,0.2324,0.0095,396.3984,1.4386,7.3212,411.9944,435.4412,0.5503,0.027,0.5816
0,projyear,4,np.log(bm) ~ dfi + ndvi + satvi + bai_126 + dfi:ndvi + dfi:satvi + dfi:bai_126 + ndvi:satvi + ndvi:bai_126 + satvi:bai_126,0.5195,0.5178,9547.1398,651.8678,59.676,4.4088,0.8707,0.0797,1.0064,,17.1509,0.9461,0.0368,1.3417,0.0487,0.2327,0.0084,323.7269,1.1753,7.5794,411.6347,438.6736,0.5498,0.0229,0.5859
0,projyear,4,np.log(bm) ~ dfi + ndvi + satvi + bai_246 + dfi:ndvi + dfi:satvi + dfi:bai_246 + ndvi:satvi + ndvi:bai_246 + satvi:bai_246,0.5113,0.5096,9594.2669,792.8167,292.0144,4.5538,1.059,0.3901,1.8325,,44.2596,0.9601,0.0433,1.3533,0.0546,0.2347,0.0095,340.569,1.2365,7.786,433.926,512.1,0.5796,0.0591,0.684
0,projyear,4,np.log(bm) ~ dfi + ndvi + nir + bai_246 + dfi:ndvi + dfi:nir + dfi:bai_246 + ndvi:nir + ndvi:bai_246 + nir:bai_246,0.528,0.5263,9497.6542,604.8878,28.0062,4.3419,0.808,0.0374,0.8615,,11.0418,0.9283,0.0344,1.329,0.0533,0.2305,0.0093,310.8324,1.129,7.4567,391.3289,402.1599,0.5227,0.0147,0.5372
0,projyear,4,np.log(bm) ~ dfi + ndvi + bai_126 + bai_246 + dfi:ndvi + dfi:bai_126 + dfi:bai_246 + ndvi:bai_126 + ndvi:bai_246 + bai_126:bai_246,0.4924,0.4906,9700.2417,722.4386,74.3823,4.434,0.965,0.0994,1.1367,,31.0696,0.9952,0.0458,1.3791,0.0557,0.2392,0.0097,374.3943,1.3587,7.5661,454.6122,503.449,0.6072,0.0415,0.6725
0,projyear,4,np.log(bm) ~ dfi + ndti + ndii7 + nir + dfi:ndti + dfi:ndii7 + dfi:nir + ndti:ndii7 + ndti:nir + ndii7:nir,0.5206,0.5188,9541.1656,630.7416,29.8178,4.1946,0.8425,0.0398,0.8955,,14.2813,0.9553,0.0399,1.3392,0.0435,0.2322,0.0075,361.2739,1.3118,7.1995,412.0522,430.5726,0.5504,0.0191,0.5751
0,projyear,4,np.log(bm) ~ dfi + ndti + ndii7 + bai_126 + dfi:ndti + dfi:ndii7 + dfi:bai_126 + ndti:ndii7 + ndti:bai_126 + ndii7:bai_126,0.4913,0.4894,9706.3939,655.6573,29.9575,4.4311,0.8758,0.04,0.9278,,9.0111,0.9877,0.0412,1.3814,0.0447,0.2396,0.0077,351.3173,1.2755,7.5937,425.8586,437.9169,0.5688,0.012,0.5849
0,projyear,4,np.log(bm) ~ dfi + ndti + ndii7 + bai_136 + dfi:ndti + dfi:ndii7 + dfi:bai_136 + ndti:ndii7 + ndti:bai_136 + ndii7:bai_136,0.5042,0.5024,9634.8428,648.1428,23.5146,4.2419,0.8657,0.0314,0.8996,,10.0613,0.9777,0.042,1.3624,0.045,0.2363,0.0078,358.8612,1.303,7.2905,424.0966,436.8833,0.5665,0.0134,0.5836
0,projyear,4,np.log(bm) ~ dfi + ndti + ndii7 + bai_236 + dfi:ndti + dfi:ndii7 + dfi:bai_236 + ndti:ndii7 + ndti:bai_236 + ndii7:bai_236,0.5113,0.5096,9594.267,648.2614,25.1431,4.081,0.8659,0.0336,0.9154,,8.2191,0.9662,0.0393,1.352,0.0398,0.2345,0.0069,367.02,1.3332,7.0304,420.5156,430.3757,0.5617,0.011,0.5749
0,projyear,4,np.log(bm) ~ dfi + ndti + nir + bai_136 + dfi:ndti + dfi:nir + dfi:bai_136 + ndti:nir + ndti:bai_136 + nir:bai_136,0.4962,0.4944,9679.2237,702.9861,36.4337,4.2073,0.939,0.0487,1.0059,,18.8193,0.9826,0.048,1.3721,0.0525,0.238,0.0091,454.2993,1.6512,7.206,438.4529,465.2568,0.5857,0.0251,0.6215
0,projyear,4,np.log(bm) ~ dfi + ndti + nir + bai_236 + dfi:ndti + dfi:nir + dfi:bai_236 + ndti:nir + ndti:bai_236 + nir:bai_236,0.5114,0.5097,9593.7489,640.1121,19.0536,4.0532,0.855,0.0255,0.9028,,4.8908,0.9602,0.0365,1.3516,0.0363,0.2344,0.0063,366.233,1.3312,6.9785,412.2614,419.3118,0.5507,0.0065,0.5601
0,projyear,4,np.log(bm) ~ dfi + ndti + nir + bai_246 + dfi:ndti + dfi:nir + dfi:bai_246 + ndti:nir + ndti:bai_246 + nir:bai_246,0.5279,0.5262,9498.1491,606.9125,24.5551,4.2634,0.8107,0.0328,0.8502,,11.1697,0.9313,0.0359,1.3283,0.0505,0.2304,0.0088,323.7624,1.176,7.3244,394.5148,411.4691,0.527,0.0149,0.5496
0,projyear,4,np.log(bm) ~ dfi + ndti + bai_126 + bai_136 + dfi:ndti + dfi:bai_126 + dfi:bai_136 + ndti:bai_126 + ndti:bai_136 + bai_126:bai_136,0.5084,0.5066,9611.2108,651.5761,24.9374,4.065,0.8703,0.0333,0.9303,,6.703,0.9696,0.0376,1.357,0.0344,0.2353,0.006,378.9034,1.3766,7.0042,421.1634,429.2528,0.5626,0.009,0.5734
0,projyear,4,np.log(bm) ~ dfi + ndti + bai_126 + bai_236 + dfi:ndti + dfi:bai_126 + dfi:bai_236 + ndti:bai_126 + ndti:bai_236 + bai_126:bai_236,0.5086,0.5068,9609.9236,652.5284,25.9648,4.0768,0.8716,0.0347,0.9354,,6.1501,0.9682,0.0374,1.3566,0.0339,0.2353,0.0059,379.6544,1.3794,7.0259,420.9471,429.1549,0.5623,0.0082,0.5732
0,projyear,4,np.log(bm) ~ dfi + ndti + bai_126 + bai_246 + dfi:ndti + dfi:bai_126 + dfi:bai_246 + ndti:bai_126 + ndti:bai_246 + bai_126:bai_246,0.4782,0.4763,9777.0404,734.6789,61.3475,4.7186,0.9813,0.0819,1.112,,27.6836,1.0039,0.0465,1.3985,0.0516,0.2425,0.009,368.4196,1.3369,8.0498,459.6189,499.5465,0.6139,0.037,0.6673
0,projyear,4,np.log(bm) ~ dfi + ndti + bai_136 + bai_246 + dfi:ndti + dfi:bai_136 + dfi:bai_246 + ndti:bai_136 + ndti:bai_246 + bai_136:bai_246,0.5096,0.5078,9604.1259,647.5863,28.1174,4.1494,0.865,0.0376,0.8995,,18.2693,0.9638,0.0429,1.3539,0.0498,0.2348,0.0086,336.8898,1.2242,7.1232,420.5946,440.3883,0.5618,0.0244,0.5882
