ID,Date,Project,gps_E,gps_N,Method,bm_gm2
E34.7,2016-07-28,BIRD,495234.0,4812111.0,vor,15.066128218621975
E34.7,2017-07-05,BIRD,495234.0,4812111.0,vor,28.788436326075164
E34.8,2015-07-07,BIRD,495098.0,4811902.0,vor,72.62989525622206
E34.8,2016-07-28,BIRD,495098.0,4811902.0,vor,8.155460449935367
E34.8,2017-07-05,BIRD,495098.0,4811902.0,vor,33.599546915490706
E35.1,2015-07-16,BIRD,494977.0,4812385.0,vor,75.73878044528125
E35.1,2016-07-28,BIRD,494977.0,4812385.0,vor,24.02880985236787
E35.1,2017-08-03,PDOG,494984.06,4812395.66,clip,45.73
E35.1,2017-08-04,BIRD,494977.0,4812385.0,vor,17.814227758125107
E35.1,2018-07-01,BIRD,494977.0,4812385.0,vor,57.13354505583942
E35.1,2018-07-13,PDOG,494988.0,4812407.0,clip,185.017
E35.1,2019-07-18,PDOG,495000.4,4812395.3,clip,117.07000000000002
E35.1,2021-07-14,PDOG,494969.0,4812388.0,clip,42.179
E35.1,2022-07-13,PDOG,494985.5,4812395.0,clip,74.966
E35.1,2023-04-26,PDOG,494982.0,4812394.0,vor,5.09150241086217
E35.1,2023-07-24,PDOG,494983.61,4812393.91,vor,117.32152369673518
E35.1,2024-07-22,PDOG,494986.74,4812397.87,vor,79.91955598480494
E35.2,2015-07-16,BIRD,494891.0,4812619.0,vor,32.54700425477845
E35.2,2016-07-28,BIRD,494891.0,4812619.0,vor,13.200557810308348
E35.2,2017-08-04,BIRD,494891.0,4812619.0,vor,15.379507943417511
E35.2,2018-07-01,BIRD,494891.0,4812619.0,vor,82.86808996074481
E35.3,2015-07-16,BIRD,494806.0,4812854.0,vor,211.29264567622414
E35.3,2016-07-28,BIRD,494806.0,4812854.0,vor,30.517047336906003
E35.3,2017-08-03,PDOG,494785.81,4812856.27,clip,104.7707
E35.3,2017-08-05,BIRD,494806.0,4812854.0,vor,210.1299511624966
E35.3,2018-07-01,BIRD,494806.0,4812854.0,vor,50.96528361976907
E35.3,2018-07-13,PDOG,494794.0,4812865.0,clip,156.69400000000002
E35.3,2019-07-18,PDOG,494796.5,4812844.5,clip,109.286
E35.3,2019-07-22,PDOG,494796.5,4812844.5,clip,278.02
E35.3,2021-07-19,PDOG,494794.0,4812861.0,clip,10.959
E35.3,2023-04-26,PDOG,494841.0,4812875.0,vor,6.030195265299064
E35.3,2023-07-24,PDOG,494809.85,4812862.61,vor,206.0883087340648
E35.3,2024-07-22,PDOG,494808.6,4812885.2,vor,87.14289076602763
E35.4,2015-07-16,BIRD,494720.0,4813089.0,vor,70.43994722458075
E35.4,2016-07-28,BIRD,494720.0,4813089.0,vor,26.903585239871674
E35.4,2017-08-05,BIRD,494720.0,4813089.0,vor,44.80094988058759
E35.4,2018-07-01,BIRD,494720.0,4813089.0,vor,109.99531593774913
E35.5,2015-07-16,BIRD,494635.0,4813324.0,vor,145.07790575168752
E35.5,2016-07-28,BIRD,494635.0,4813324.0,vor,71.68360821083645
E35.5,2017-08-04,BIRD,494635.0,4813324.0,vor,47.22273241352916
E35.5,2018-07-01,BIRD,494635.0,4813324.0,vor,103.22898745195373
E35.6,2015-07-16,BIRD,494549.0,4813559.0,vor,231.843516554666
E35.6,2016-07-28,BIRD,494549.0,4813559.0,vor,21.708833591517823
E35.6,2017-08-04,BIRD,494549.0,4813559.0,vor,41.11903748592886
E35.6,2018-07-01,BIRD,494549.0,4813559.0,vor,56.191765707326354
E35.7,2015-07-16,BIRD,494464.0,4813794.0,vor,142.2569599375583
E35.7,2016-07-28,BIRD,494464.0,4813794.0,vor,39.75614576101948
E35.7,2017-08-04,BIRD,494464.0,4813794.0,vor,30.263940641284055
E35.7,2018-07-01,BIRD,494464.0,4813794.0,vor,60.64344203908738
E35.8,2015-07-16,BIRD,494378.0,4814029.0,vor,72.74193542931113
E35.8,2017-08-04,BIRD,494378.0,4814029.0,vor,36.4096322588477
E35.8,2018-07-01,BIRD,494378.0,4814029.0,vor,49.56966325314537
E36.1,2015-07-06,BIRD,493776.0,4811288.0,vor,55.810121612712024
E36.1,2016-07-13,BIRD,493776.0,4811288.0,vor,14.37666130097597
E36.1,2017-07-16,BIRD,493776.0,4811288.0,vor,52.067760557738616
E36.1,2018-07-01,BIRD,493776.0,4811288.0,vor,72.95574630499975
E36.1,2019-06-16,BIRD,493776.0,4811288.0,vor,61.203216785294735
E36.2,2015-07-06,BIRD,493776.0,4811538.0,vor,66.0126499422418
E36.2,2016-07-13,BIRD,493776.0,4811538.0,vor,27.66559297543427
E36.2,2017-07-16,BIRD,493776.0,4811538.0,vor,22.708724386350113
E36.2,2018-07-01,BIRD,493776.0,4811538.0,vor,103.42958780495906
E36.2,2019-06-16,BIRD,493776.0,4811538.0,vor,119.83807395412518
E36.3,2015-07-06,BIRD,493776.0,4811788.0,vor,95.51744666558388
E36.3,2016-07-13,BIRD,493776.0,4811788.0,vor,19.14356741246122
E36.3,2017-07-16,BIRD,493776.0,4811788.0,vor,43.50387414587911
E36.3,2018-07-01,BIRD,493776.0,4811788.0,vor,131.2331572595017
E36.3,2019-06-16,BIRD,493776.0,4811788.0,vor,114.20725963434714
E36.4,2015-07-06,BIRD,493776.0,4812038.0,vor,28.152256474625034
E36.4,2016-07-13,BIRD,493776.0,4812038.0,vor,91.9385175847733
E36.4,2017-07-16,BIRD,493776.0,4812038.0,vor,45.34223737147877
E36.4,2018-07-01,BIRD,493776.0,4812038.0,vor,212.8180404294818
E36.4,2019-06-18,BIRD,493776.0,4812038.0,vor,49.85524483905963
E36.5,2015-07-06,BIRD,493776.0,4812288.0,vor,58.376245732671975
