ID,Date,Project,gps_E,gps_N,Method,bm_gm2,geometry,index_right,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,OBJECTID,mukey_1,comppct_r,CONFIDENCE,AVG_SAND,AVG_SILT,AVG_CLAY,texcl
E24.6,2015-07-02,BIRD,494110.0,4817768.0,vor,45.19710948611973,POINT (494110 4817768),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
E24.6,2016-08-04,BIRD,494110.0,4817768.0,vor,-11.939596710083686,POINT (494110 4817768),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
E24.6,2017-07-09,BIRD,494110.0,4817768.0,vor,9.273974413793477,POINT (494110 4817768),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
E24.6,2018-07-01,BIRD,494110.0,4817768.0,vor,67.55677067802887,POINT (494110 4817768),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
E24.6,2019-06-12,BIRD,494110.0,4817768.0,vor,33.472724225889564,POINT (494110 4817768),52896,WY045,10,3,349432,75921,349432,100.0,R,34.3802631579,29.9618421053,35.6578947368,clay loam
35mm-l-in,2015-08-04,FIRE,510876.1619895001,4835577.1433850005,clip,100.5932,POINT (510876.1619895001 4835577.1433850005),47983,WY045,10,55,349460,75949,349460,100.0,R,39.7769188776,37.6846125851,22.5384685373,loam
35mm-ss-in,2015-08-05,FIRE,513198.76993,4832818.621705,clip,151.2928,POINT (513198.76993 4832818.621705),49944,WY045,10,111,349395,75904,349395,100.0,R,65.5333984375,24.5837890625,9.8828125,sandy loam
35mm-ss-out,2015-08-05,FIRE,513582.01244672143,4832943.600727814,clip,100.8709,POINT (513582.01244672143 4832943.600727814),49944,WY045,10,111,349395,75904,349395,100.0,R,65.5333984375,24.5837890625,9.8828125,sandy loam
A1.1,2021-07-22,PDOG,495495.0,4817824.0,clip,38.922,POINT (495495 4817824),46972,WY045,10,39,349442,75931,349442,100.0,R,38.5800625595,37.1329797362,24.2869577043,loam
L6.6,2015-07-13,BIRD,496130.0,4817560.0,vor,139.77731336814952,POINT (496130 4817560),46972,WY045,10,39,349442,75931,349442,100.0,R,38.5800625595,37.1329797362,24.2869577043,loam
L6.6,2016-07-05,BIRD,496130.0,4817560.0,vor,44.90195864803551,POINT (496130 4817560),46972,WY045,10,39,349442,75931,349442,100.0,R,38.5800625595,37.1329797362,24.2869577043,loam
L6.6,2017-07-09,BIRD,496130.0,4817560.0,vor,12.44718830485718,POINT (496130 4817560),46972,WY045,10,39,349442,75931,349442,100.0,R,38.5800625595,37.1329797362,24.2869577043,loam
L6.6,2017-08-16,PDOG,496142.935,4817562.27,clip,44.25,POINT (496142.935 4817562.27),46972,WY045,10,39,349442,75931,349442,100.0,R,38.5800625595,37.1329797362,24.2869577043,loam
L6.6,2018-07-01,BIRD,496130.0,4817560.0,vor,131.55312037796153,POINT (496130 4817560),46972,WY045,10,39,349442,75931,349442,100.0,R,38.5800625595,37.1329797362,24.2869577043,loam
L6.6,2018-07-16,PDOG,496142.935,4817562.27,clip,172.37400000000002,POINT (496142.935 4817562.27),46972,WY045,10,39,349442,75931,349442,100.0,R,38.5800625595,37.1329797362,24.2869577043,loam
L6.6,2018-07-18,PDOG,496142.935,4817562.27,clip,144.535,POINT (496142.935 4817562.27),46972,WY045,10,39,349442,75931,349442,100.0,R,38.5800625595,37.1329797362,24.2869577043,loam
L6.6,2019-06-10,BIRD,496130.0,4817560.0,vor,91.68655567228951,POINT (496130 4817560),46972,WY045,10,39,349442,75931,349442,100.0,R,38.5800625595,37.1329797362,24.2869577043,loam
L6.6,2019-07-16,PDOG,496142.935,4817562.27,clip,116.696,POINT (496142.935 4817562.27),46972,WY045,10,39,349442,75931,349442,100.0,R,38.5800625595,37.1329797362,24.2869577043,loam
L6.6,2021-07-15,PDOG,496142.935,4817562.27,clip,41.908,POINT (496142.935 4817562.27),46972,WY045,10,39,349442,75931,349442,100.0,R,38.5800625595,37.1329797362,24.2869577043,loam
A2.1,2021-07-22,PDOG,495538.0,4811124.0,clip,24.663,POINT (495538 4811124),60374,WY709,9,121,351499,85884,351499,100.0,R,61.1870786481,17.1432820675,21.6696392844,sandy clay loam
E33.8,2015-07-07,BIRD,495094.0,4811608.0,vor,43.6510441532656,POINT (495094 4811608),60374,WY709,9,121,351499,85884,351499,100.0,R,61.1870786481,17.1432820675,21.6696392844,sandy clay loam
E33.8,2017-07-05,BIRD,495094.0,4811608.0,vor,42.61189371256808,POINT (495094 4811608),60374,WY709,9,121,351499,85884,351499,100.0,R,61.1870786481,17.1432820675,21.6696392844,sandy clay loam
E33.8,2017-08-03,PDOG,495080.14,4811620.305,clip,29.3,POINT (495080.14 4811620.305),60374,WY709,9,121,351499,85884,351499,100.0,R,61.1870786481,17.1432820675,21.6696392844,sandy clay loam
E33.8,2018-07-01,BIRD,495094.0,4811608.0,vor,85.7595779318666,POINT (495094 4811608),60374,WY709,9,121,351499,85884,351499,100.0,R,61.1870786481,17.1432820675,21.6696392844,sandy clay loam
E33.8,2019-06-16,BIRD,495094.0,4811608.0,vor,132.03540938880366,POINT (495094 4811608),60374,WY709,9,121,351499,85884,351499,100.0,R,61.1870786481,17.1432820675,21.6696392844,sandy clay loam
E33.8,2021-07-14,PDOG,495080.14,4811620.305,clip,53.168000000000006,POINT (495080.14 4811620.305),60374,WY709,9,121,351499,85884,351499,100.0,R,61.1870786481,17.1432820675,21.6696392844,sandy clay loam
A3.1,2021-07-22,PDOG,502074.0,4802246.0,clip,37.175,POINT (502074 4802246),72893,WY709,9,142,351520,85905,351520,100.0,R,34.7763157895,30.8131578947,34.4105263158,clay loam
Upper_Rattlesnake_Pt33_No,2021-06-14,WTGN,502237.781,4802466.63,vor,71.839823641744,POINT (502237.781 4802466.63),72893,WY709,9,142,351520,85905,351520,100.0,R,34.7763157895,30.8131578947,34.4105263158,clay loam
Upper_Rattlesnake_Pt7_No,2021-06-14,WTGN,501227.781,4802656.63,vor,66.88293013685218,POINT (501227.781 4802656.63),72893,WY709,9,142,351520,85905,351520,100.0,R,34.7763157895,30.8131578947,34.4105263158,clay loam
Upper_Rattlesnake_Pt7_No,2021-07-15,WTGN,501227.781,4802656.63,vor,94.96213680363591,POINT (501227.781 4802656.63),72893,WY709,9,142,351520,85905,351520,100.0,R,34.7763157895,30.8131578947,34.4105263158,clay loam
C1.1,2015-07-23,BIRD,486913.0,4813259.0,vor,3.0380151984896697,POINT (486913 4813259),67772,WY709,9,131,351509,85894,351509,100.0,R,34.9704111043,33.2982233109,31.7313655848,clay loam
C1.1,2016-06-29,BIRD,486913.0,4813259.0,vor,11.77820021900423,POINT (486913 4813259),67772,WY709,9,131,351509,85894,351509,100.0,R,34.9704111043,33.2982233109,31.7313655848,clay loam
C1.1,2017-07-06,BIRD,486913.0,4813259.0,vor,45.174056111328426,POINT (486913 4813259),67772,WY709,9,131,351509,85894,351509,100.0,R,34.9704111043,33.2982233109,31.7313655848,clay loam
C1.1,2018-06-18,BIRD,486913.0,4813259.0,vor,96.25525054274227,POINT (486913 4813259),67772,WY709,9,131,351509,85894,351509,100.0,R,34.9704111043,33.2982233109,31.7313655848,clay loam
C1.1,2019-06-13,BIRD,486913.0,4813259.0,vor,126.18809094616806,POINT (486913 4813259),67772,WY709,9,131,351509,85894,351509,100.0,R,34.9704111043,33.2982233109,31.7313655848,clay loam
C1.2,2015-07-23,BIRD,487089.0,4813082.0,vor,208.35628402750584,POINT (487089 4813082),67772,WY709,9,131,351509,85894,351509,100.0,R,34.9704111043,33.2982233109,31.7313655848,clay loam
C1.2,2016-06-29,BIRD,487089.0,4813082.0,vor,119.18780447894922,POINT (487089 4813082),67772,WY709,9,131,351509,85894,351509,100.0,R,34.9704111043,33.2982233109,31.7313655848,clay loam
C1.2,2017-07-06,BIRD,487089.0,4813082.0,vor,176.2590814834405,POINT (487089 4813082),67772,WY709,9,131,351509,85894,351509,100.0,R,34.9704111043,33.2982233109,31.7313655848,clay loam
C1.2,2017-08-08,PDOG,487106.76,4813085.065,clip,35.73864,POINT (487106.76 4813085.065),67772,WY709,9,131,351509,85894,351509,100.0,R,34.9704111043,33.2982233109,31.7313655848,clay loam
C1.2,2018-06-18,BIRD,487089.0,4813082.0,vor,197.19403893600636,POINT (487089 4813082),67772,WY709,9,131,351509,85894,351509,100.0,R,34.9704111043,33.2982233109,31.7313655848,clay loam
