index,model,numb_vars,formula,xv,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
197,Temporal,4,np.log(bm) ~ satvi + ndii7 + swir1 + bai_126 + satvi:ndii7 + satvi:swir1 + satvi:bai_126 + ndii7:swir1 + ndii7:bai_126 + swir1:bai_126,simp,0.534,0.5323,9461.8655,651.3205,220.0518,5.4456,0.9579,0.2617,1.3672,416.7936,142.9935,0.9399,0.3695,1.2636,0.4726,0.2406,0.145,372.6476,1.163,8.0786,680.6448,0.5887,0.0815,0.7076
198,Temporal,4,np.log(bm) ~ satvi + ndii7 + bai_126 + bai_236 + satvi:ndii7 + satvi:bai_126 + satvi:bai_236 + ndii7:bai_126 + ndii7:bai_236 + bai_126:bai_236,simp,0.4809,0.479,9762.8181,685.3781,197.7002,5.523,1.0148,0.2716,1.4364,450.2681,148.0258,0.9991,0.3968,1.3198,0.4947,0.2513,0.1525,394.295,1.2528,7.8894,698.3999,0.6381,0.0941,0.7322
199,Temporal,4,np.log(bm) ~ satvi + nir + swir1 + bai_246 + satvi:nir + satvi:swir1 + satvi:bai_246 + nir:swir1 + nir:bai_246 + swir1:bai_246,simp,0.5035,0.5017,9638.5475,642.6866,190.2338,6.0804,0.9526,0.271,1.2747,426.7066,149.6891,0.9888,0.3939,1.3212,0.5318,0.2528,0.1593,417.5852,1.3099,8.6375,611.076,0.6011,0.1122,0.8051
200,Temporal,4,np.log(bm) ~ satvi + nir + bai_236 + bai_246 + satvi:nir + satvi:bai_236 + satvi:bai_246 + nir:bai_236 + nir:bai_246 + bai_236:bai_246,simp,0.4917,0.4899,9703.9922,675.8392,234.1539,6.2654,0.9976,0.3154,1.5248,441.7106,156.8045,1.0084,0.3772,1.3383,0.5201,0.2554,0.1584,467.6445,1.4541,8.8164,661.6525,0.6219,0.1292,0.8848
201,Temporal,4,np.log(bm) ~ satvi + swir1 + bai_126 + bai_246 + satvi:swir1 + satvi:bai_126 + satvi:bai_246 + swir1:bai_126 + swir1:bai_246 + bai_126:bai_246,simp,0.5355,0.5338,9453.1219,611.7312,145.8011,5.3546,0.9241,0.2779,1.3624,408.8696,134.3203,0.9403,0.3791,1.2662,0.4794,0.2412,0.1458,375.9366,1.1723,7.9662,652.9952,0.5812,0.0877,0.7121
202,Temporal,4,np.log(bm) ~ satvi + bai_126 + bai_236 + bai_246 + satvi:bai_126 + satvi:bai_236 + satvi:bai_246 + bai_126:bai_236 + bai_126:bai_246 + bai_236:bai_246,simp,0.4524,0.4505,9911.2637,664.5935,150.7486,6.1392,0.9977,0.2745,1.4648,455.0837,140.9708,1.026,0.3968,1.3656,0.5058,0.2599,0.1569,388.4976,1.2394,8.7639,651.5969,0.6468,0.092,0.7344
203,Temporal,5,np.log(bm) ~ dfi + ndvi + satvi + nir + bai_246 + dfi:ndvi + dfi:satvi + dfi:nir + dfi:bai_246 + ndvi:satvi + ndvi:nir + ndvi:bai_246 + satvi:nir + satvi:bai_246 + nir:bai_246,simp,0.5346,0.5321,9468.0809,604.5901,161.9399,5.6432,0.9056,0.2693,1.3164,409.6171,142.9668,0.9524,0.3955,1.2804,0.5159,0.2449,0.1534,361.929,1.1455,8.1797,640.56,0.5783,0.0986,0.7309
204,Temporal,5,np.log(bm) ~ dfi + ndvi + satvi + bai_126 + bai_246 + dfi:ndvi + dfi:satvi + dfi:bai_126 + dfi:bai_246 + ndvi:satvi + ndvi:bai_126 + ndvi:bai_246 + satvi:bai_126 + satvi:bai_246 + bai_126:bai_246,simp,0.5287,0.5262,9503.179,680.2106,277.6357,5.5762,0.9871,0.2851,1.368,429.4816,175.9443,0.9437,0.3744,1.2705,0.4831,0.242,0.1469,361.6304,1.144,8.1419,784.0289,0.5983,0.0983,0.7171
205,Temporal,5,np.log(bm) ~ dfi + ndti + ndii7 + nir + bai_136 + dfi:ndti + dfi:ndii7 + dfi:nir + dfi:bai_136 + ndti:ndii7 + ndti:nir + ndti:bai_136 + ndii7:nir + ndii7:bai_136 + nir:bai_136,simp,0.5275,0.5249,9510.5432,661.8365,216.9665,5.9059,0.982,0.3039,1.3489,435.8676,163.9351,0.9851,0.3904,1.3239,0.5205,0.2528,0.1565,411.9104,1.2912,8.5237,676.5523,0.6106,0.1221,0.8267
206,Temporal,5,np.log(bm) ~ dfi + ndti + ndii7 + nir + bai_236 + dfi:ndti + dfi:ndii7 + dfi:nir + dfi:bai_236 + ndti:ndii7 + ndti:nir + ndti:bai_236 + ndii7:nir + ndii7:bai_236 + nir:bai_236,simp,0.5291,0.5265,9501.1696,674.9823,238.7616,6.3758,0.9978,0.3224,1.4619,443.1415,170.6214,0.9942,0.3917,1.3383,0.5232,0.2554,0.157,425.8576,1.3438,9.2095,680.508,0.6213,0.1385,0.8877
207,Temporal,5,np.log(bm) ~ dfi + ndti + ndii7 + bai_126 + bai_136 + dfi:ndti + dfi:ndii7 + dfi:bai_126 + dfi:bai_136 + ndti:ndii7 + ndti:bai_126 + ndti:bai_136 + ndii7:bai_126 + ndii7:bai_136 + bai_126:bai_136,simp,0.512,0.5093,9600.7282,667.4241,212.7392,5.9823,0.9895,0.2948,1.3473,446.5693,170.103,0.9976,0.3865,1.3334,0.508,0.2539,0.1539,405.338,1.2948,8.5771,728.1485,0.6273,0.1241,0.8078
208,Temporal,5,np.log(bm) ~ dfi + ndti + ndii7 + bai_126 + bai_236 + dfi:ndti + dfi:ndii7 + dfi:bai_126 + dfi:bai_236 + ndti:ndii7 + ndti:bai_126 + ndti:bai_236 + ndii7:bai_126 + ndii7:bai_236 + bai_126:bai_236,simp,0.514,0.5114,9588.9612,660.1274,201.5612,5.9014,0.9779,0.2822,1.3334,443.696,167.3066,0.9913,0.3824,1.3244,0.5056,0.2523,0.1531,394.5485,1.2565,8.4863,714.4126,0.6223,0.1165,0.7915
209,Temporal,5,np.log(bm) ~ dfi + ndti + nir + bai_136 + bai_246 + dfi:ndti + dfi:nir + dfi:bai_136 + dfi:bai_246 + ndti:nir + ndti:bai_136 + ndti:bai_246 + nir:bai_136 + nir:bai_246 + bai_136:bai_246,simp,0.5322,0.5297,9482.4868,609.2877,168.6219,5.654,0.9065,0.2549,1.2577,409.0327,146.9304,0.9342,0.3702,1.2668,0.5,0.2421,0.1512,349.2633,1.1004,8.1314,626.7968,0.5739,0.0937,0.6959
210,Temporal,5,np.log(bm) ~ dfi + ndti + nir + bai_236 + bai_246 + dfi:ndti + dfi:nir + dfi:bai_236 + dfi:bai_246 + ndti:nir + ndti:bai_236 + ndti:bai_246 + nir:bai_236 + nir:bai_246 + bai_236:bai_246,simp,0.5442,0.5417,9410.2392,617.2485,165.296,5.802,0.9139,0.2377,1.2715,420.9131,151.538,0.9501,0.3502,1.2826,0.4749,0.244,0.1457,351.2297,1.112,8.4799,635.1717,0.5869,0.079,0.7088
211,Temporal,5,np.log(bm) ~ dfi + ndti + bai_126 + bai_136 + bai_246 + dfi:ndti + dfi:bai_126 + dfi:bai_136 + dfi:bai_246 + ndti:bai_126 + ndti:bai_136 + ndti:bai_246 + bai_126:bai_136 + bai_126:bai_246 + bai_136:bai_246,simp,0.5204,0.5178,9552.207,639.2003,193.731,5.6704,0.9539,0.289,1.3425,432.1452,169.4121,0.9723,0.3873,1.3055,0.5082,0.249,0.1535,388.7574,1.2183,8.1612,748.7837,0.6055,0.1109,0.7343
212,Temporal,5,np.log(bm) ~ dfi + ndti + bai_126 + bai_236 + bai_246 + dfi:ndti + dfi:bai_126 + dfi:bai_236 + dfi:bai_246 + ndti:bai_126 + ndti:bai_236 + ndti:bai_246 + bai_126:bai_236 + bai_126:bai_246 + bai_236:bai_246,simp,0.5222,0.5196,9541.5501,638.3355,191.8876,5.5776,0.9513,0.2851,1.3424,430.0958,169.2516,0.9641,0.3852,1.295,0.5046,0.247,0.1523,382.5666,1.1959,8.0574,744.5562,0.6018,0.1077,0.7307
213,Temporal,5,np.log(bm) ~ dfi + satvi + ndii7 + nir + swir1 + dfi:satvi + dfi:ndii7 + dfi:nir + dfi:swir1 + satvi:ndii7 + satvi:nir + satvi:swir1 + ndii7:nir + ndii7:swir1 + nir:swir1,simp,0.5465,0.5441,9396.0409,603.2303,160.8658,5.4729,0.9007,0.2604,1.2896,408.4543,146.2553,0.9411,0.374,1.2691,0.4877,0.2418,0.1465,329.367,1.0445,8.0699,632.2762,0.5723,0.0791,0.7193
214,Temporal,5,np.log(bm) ~ dfi + satvi + ndii7 + nir + bai_236 + dfi:satvi + dfi:ndii7 + dfi:nir + dfi:bai_236 + satvi:ndii7 + satvi:nir + satvi:bai_236 + ndii7:nir + ndii7:bai_236 + nir:bai_236,simp,0.5321,0.5296,9483.3215,663.9181,228.4105,5.8339,0.9859,0.324,1.4022,434.2147,163.1185,0.9849,0.4085,1.3192,0.526,0.2518,0.1553,436.9334,1.3858,8.444,680.5917,0.6113,0.1289,0.8163
215,Temporal,5,np.log(bm) ~ dfi + satvi + ndii7 + swir1 + bai_126 + dfi:satvi + dfi:ndii7 + dfi:swir1 + dfi:bai_126 + satvi:ndii7 + satvi:swir1 + satvi:bai_126 + ndii7:swir1 + ndii7:bai_126 + swir1:bai_126,simp,0.5505,0.5481,9371.3084,597.1062,147.9636,5.7894,0.9039,0.2886,1.3198,400.5665,135.8656,0.9235,0.39,1.2597,0.4952,0.2403,0.1469,352.7309,1.1133,8.6522,607.184,0.569,0.1032,0.7332
216,Temporal,5,np.log(bm) ~ dfi + satvi + ndii7 + bai_126 + bai_236 + dfi:satvi + dfi:ndii7 + dfi:bai_126 + dfi:bai_236 + satvi:ndii7 + satvi:bai_126 + satvi:bai_236 + ndii7:bai_126 + ndii7:bai_236 + bai_126:bai_236,simp,0.5242,0.5216,9529.9371,631.7326,171.2189,5.9427,0.9485,0.2896,1.3563,430.8153,150.3268,0.9634,0.3699,1.293,0.4833,0.2458,0.1462,381.291,1.2254,8.6905,657.6468,0.6098,0.1122,0.7552
217,Temporal,5,np.log(bm) ~ dfi + satvi + nir + swir1 + bai_246 + dfi:satvi + dfi:nir + dfi:swir1 + dfi:bai_246 + satvi:nir + satvi:swir1 + satvi:bai_246 + nir:swir1 + nir:bai_246 + swir1:bai_246,simp,0.5401,0.5376,9435.2924,591.1972,146.1202,5.8,0.891,0.2724,1.3119,402.6795,137.3792,0.9409,0.3907,1.2738,0.5107,0.2435,0.1514,345.2661,1.0928,8.4723,619.058,0.5694,0.092,0.7283
218,Temporal,5,np.log(bm) ~ dfi + satvi + nir + bai_236 + bai_246 + dfi:satvi + dfi:nir + dfi:bai_236 + dfi:bai_246 + satvi:nir + satvi:bai_236 + satvi:bai_246 + nir:bai_236 + nir:bai_246 + bai_236:bai_246,simp,0.5386,0.5361,9444.4692,619.3135,174.7229,5.7125,0.9295,0.2876,1.3224,417.9711,148.4092,0.9659,0.4041,1.2978,0.521,0.2479,0.1533,393.6401,1.2468,8.3308,644.8806,0.5919,0.1196,0.7642
219,Temporal,5,np.log(bm) ~ dfi + satvi + swir1 + bai_126 + bai_246 + dfi:satvi + dfi:swir1 + dfi:bai_126 + dfi:bai_246 + satvi:swir1 + satvi:bai_126 + satvi:bai_246 + swir1:bai_126 + swir1:bai_246 + bai_126:bai_246,simp,0.5524,0.5499,9360.0196,591.1755,143.5684,5.6011,0.8958,0.2865,1.3168,396.0761,132.5842,0.9134,0.3844,1.2465,0.4912,0.2379,0.1459,350.3597,1.1008,8.3312,610.9502,0.5632,0.0974,0.7254
220,Temporal,5,np.log(bm) ~ dfi + satvi + bai_126 + bai_236 + bai_246 + dfi:satvi + dfi:bai_126 + dfi:bai_236 + dfi:bai_246 + satvi:bai_126 + satvi:bai_236 + satvi:bai_246 + bai_126:bai_236 + bai_126:bai_246 + bai_236:bai_246,simp,0.512,0.5094,9600.3048,646.2616,177.5023,6.2577,0.962,0.2713,1.3866,443.3338,157.2012,0.9753,0.3574,1.3062,0.477,0.248,0.1464,380.6311,1.2154,9.1186,679.77,0.6217,0.0872,0.724
