,model,numb_vars,formula,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean|,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_mean,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
0,projyear,2,np.log(bm) ~ dfi + swir2 + dfi:swir2 + I(dfi**2) + I(swir2**2),0.5426,0.5416,7756.3203,577.8828,44.2945,6.0707,0.7737,0.0593,0.8502,,12.5932,0.9577,0.0207,1.4251,0.0405,0.2509,0.0071,286.8946,1.0449,10.6827,360.5637,375.3426,0.4827,0.0169,0.5025
0,projyear,2,np.log(bm) ~ dfi + bai_126 + dfi:bai_126 + I(dfi**2) + I(bai_126**2),0.1177,0.1157,9193.3003,802.3898,48.8422,20.1407,1.0743,0.0654,1.1359,,21.157,1.3718,0.0832,1.9726,0.1207,0.3474,0.0213,261.6129,0.9524,35.2226,514.8662,539.1705,0.6893,0.0283,0.7219
0,projyear,2,np.log(bm) ~ dfi + bai_136 + dfi:bai_136 + I(dfi**2) + I(bai_136**2),0.4132,0.4119,8301.1199,657.7228,54.1328,8.8429,0.8806,0.0725,0.9729,,16.7545,1.0976,0.0544,1.6108,0.0708,0.2837,0.0125,284.8986,1.0369,15.5493,409.3154,425.2402,0.548,0.0224,0.5693
0,projyear,2,np.log(bm) ~ dfi + bai_236 + dfi:bai_236 + I(dfi**2) + I(bai_236**2),0.5064,0.5053,7922.9187,638.7073,54.5763,6.3894,0.8551,0.0731,0.9384,,20.5518,1.0244,0.026,1.4822,0.0356,0.261,0.0063,314.6231,1.1458,11.2738,405.2132,436.5629,0.5425,0.0275,0.5845
0,projyear,2,np.log(bm) ~ dfi + bai_246 + dfi:bai_246 + I(dfi**2) + I(bai_246**2),0.3064,0.3048,8666.9882,747.3828,43.5888,13.4756,1.0006,0.0584,1.0791,,16.6114,1.2365,0.0334,1.7519,0.0736,0.3085,0.013,278.2007,1.0132,23.6816,496.4019,525.7504,0.6646,0.0222,0.7039
0,projyear,2,np.log(bm) ~ ndvi + satvi + ndvi:satvi + I(ndvi**2) + I(satvi**2),0.4056,0.4043,8329.3116,628.915,29.8149,7.3152,0.842,0.0399,0.9091,,9.0471,1.1178,0.0462,1.6226,0.0698,0.2857,0.0123,293.67,1.0689,12.8563,401.4009,409.3166,0.5374,0.0121,0.548
0,projyear,2,np.log(bm) ~ ndvi + nir + ndvi:nir + I(ndvi**2) + I(nir**2),0.4543,0.4531,8142.342,616.5346,35.0986,6.8044,0.8254,0.047,0.891,,11.3777,1.0699,0.044,1.5551,0.0605,0.2738,0.0106,320.184,1.1655,11.9315,388.5931,402.6242,0.5203,0.0152,0.5391
0,projyear,2,np.log(bm) ~ ndvi + bai_126 + ndvi:bai_126 + I(ndvi**2) + I(bai_126**2),0.3634,0.3619,8479.4359,655.182,53.4431,7.9189,0.8772,0.0716,0.9929,,19.6013,1.1937,0.0433,1.6818,0.0691,0.2961,0.0122,340.6502,1.241,13.8764,426.751,454.4159,0.5714,0.0262,0.6084
0,projyear,2,np.log(bm) ~ ndvi + bai_246 + ndvi:bai_246 + I(ndvi**2) + I(bai_246**2),0.3835,0.3821,8409.298,639.0297,40.477,7.5785,0.8556,0.0542,0.9163,,13.8926,1.167,0.0491,1.6533,0.0711,0.2911,0.0125,343.9668,1.2521,13.2772,417.7063,434.73,0.5592,0.0186,0.582
0,projyear,2,np.log(bm) ~ ndti + ndii7 + ndti:ndii7 + I(ndti**2) + I(ndii7**2),0.5157,0.5146,7881.3412,631.8924,22.0334,5.4908,0.846,0.0295,0.8765,,12.8257,1.0419,0.0255,1.4666,0.0525,0.2583,0.0093,372.339,1.3562,9.681,411.8736,421.4548,0.5514,0.0172,0.5643
