index,model,numb_vars,formula,project,R2,R2_adj,AIC,rmse_kg_mean,rmse_kg_sd,mpe,rmse_pct_mean,rmse_pct_sd,rmse_pct_max,mae_kg_mean|,mae_kg_sd,mae_orig_mean,mae_orig_sd,rmse_orig_mean,rmse_orig_sd,rmse_orig_pct_mean,rmse_orig_pct_sd,rmse_kg_low_mean,rmse_pct_low_mean,mpe_low,mae_kg_mean,mae_kg_max,mae_pct_mean,mae_pct_sd,mae_pct_max
1304,Project,5,np.log(bm) ~ dfi + satvi + swir2 + bai_126 + bai_246 + dfi:satvi + dfi:swir2 + dfi:bai_126 + dfi:bai_246 + satvi:swir2 + satvi:bai_126 + satvi:bai_246 + swir2:bai_126 + swir2:bai_246 + bai_126:bai_246,NEX,0.6216,0.6048,555.5936,576.4603,72.0976,0.5157,0.3923,0.0491,0.4532,,60.5604,0.3843,0.0492,0.5739,0.112,0.0814,0.0159,387.7796,0.8965,3.1001,422.9276,497.0821,0.2879,0.0412,0.3383
1305,Project,5,np.log(bm) ~ dfi + satvi + bai_126 + bai_136 + bai_246 + dfi:satvi + dfi:bai_126 + dfi:bai_136 + dfi:bai_246 + satvi:bai_126 + satvi:bai_136 + satvi:bai_246 + bai_126:bai_136 + bai_126:bai_246 + bai_136:bai_246,NEX,0.5754,0.5565,596.2964,582.3735,66.6295,0.5387,0.3964,0.0453,0.4589,,48.5362,0.4029,0.0474,0.585,0.1205,0.0829,0.0171,426.0004,0.9888,3.3221,437.365,517.7749,0.2977,0.033,0.3524
1306,Project,5,np.log(bm) ~ dfi + satvi + bai_126 + bai_236 + bai_246 + dfi:satvi + dfi:bai_126 + dfi:bai_236 + dfi:bai_246 + satvi:bai_126 + satvi:bai_236 + satvi:bai_246 + bai_126:bai_236 + bai_126:bai_246 + bai_236:bai_246,NEX,0.5778,0.559,594.2897,586.3457,63.8013,0.5346,0.3991,0.0434,0.459,,46.9225,0.4029,0.0471,0.5862,0.1182,0.0831,0.0168,435.6098,1.0099,3.2863,437.7062,515.5588,0.2979,0.0319,0.3509
1307,Project,5,np.log(bm) ~ ndti + satvi + ndii7 + nir + swir1 + ndti:satvi + ndti:ndii7 + ndti:nir + ndti:swir1 + satvi:ndii7 + satvi:nir + satvi:swir1 + ndii7:nir + ndii7:swir1 + nir:swir1,NEX,0.6143,0.5971,562.3547,668.5753,217.6693,0.6331,0.455,0.1481,0.7442,,55.8829,0.3828,0.0412,0.5699,0.1223,0.0808,0.0173,371.0814,0.8578,3.8024,436.2261,499.5521,0.2969,0.038,0.34
1308,Project,5,np.log(bm) ~ ndti + satvi + ndii7 + nir + bai_136 + ndti:satvi + ndti:ndii7 + ndti:nir + ndti:bai_136 + satvi:ndii7 + satvi:nir + satvi:bai_136 + ndii7:nir + ndii7:bai_136 + nir:bai_136,NEX,0.607,0.5895,569.0011,572.1154,54.2663,0.5922,0.3894,0.0369,0.4339,,53.1103,0.3871,0.0469,0.5716,0.1273,0.081,0.018,375.0116,0.8659,3.5573,427.3825,495.9395,0.2909,0.0361,0.3375
1309,Project,5,np.log(bm) ~ ndti + satvi + ndii7 + swir1 + bai_126 + ndti:satvi + ndti:ndii7 + ndti:swir1 + ndti:bai_126 + satvi:ndii7 + satvi:swir1 + satvi:bai_126 + ndii7:swir1 + ndii7:bai_126 + swir1:bai_126,NEX,0.6081,0.5906,568.0008,583.6783,45.7631,0.5902,0.3973,0.0311,0.4369,,45.2535,0.3836,0.0463,0.5644,0.1227,0.08,0.0174,388.3127,0.8955,3.5346,430.1814,492.5291,0.2928,0.0308,0.3352
1310,Project,5,np.log(bm) ~ ndti + satvi + ndii7 + bai_126 + bai_136 + ndti:satvi + ndti:ndii7 + ndti:bai_126 + ndti:bai_136 + satvi:ndii7 + satvi:bai_126 + satvi:bai_136 + ndii7:bai_126 + ndii7:bai_136 + bai_126:bai_136,NEX,0.5822,0.5636,590.5697,637.7464,50.7779,0.6066,0.4341,0.0346,0.4979,,47.7828,0.3979,0.0474,0.5703,0.1281,0.0809,0.0182,406.999,0.9448,3.6874,458.0578,532.3498,0.3118,0.0325,0.3623
1311,Project,5,np.log(bm) ~ ndti + satvi + nir + swir1 + bai_246 + ndti:satvi + ndti:nir + ndti:swir1 + ndti:bai_246 + satvi:nir + satvi:swir1 + satvi:bai_246 + nir:swir1 + nir:bai_246 + swir1:bai_246,NEX,0.6189,0.602,558.0875,572.283,40.8452,0.525,0.3895,0.0278,0.4349,,43.3709,0.3828,0.0445,0.5717,0.1208,0.0811,0.0171,364.3784,0.8404,3.1484,425.635,492.172,0.2897,0.0295,0.335
1312,Project,5,np.log(bm) ~ ndti + satvi + nir + bai_136 + bai_246 + ndti:satvi + ndti:nir + ndti:bai_136 + ndti:bai_246 + satvi:nir + satvi:bai_136 + satvi:bai_246 + nir:bai_136 + nir:bai_246 + bai_136:bai_246,NEX,0.614,0.5968,562.6699,564.1729,63.8411,0.5467,0.384,0.0435,0.4557,,59.0293,0.3798,0.0506,0.5749,0.1264,0.0815,0.0179,375.3898,0.8684,3.2899,416.7592,503.2319,0.2837,0.0402,0.3425
1313,Project,5,np.log(bm) ~ ndti + satvi + nir + bai_236 + bai_246 + ndti:satvi + ndti:nir + ndti:bai_236 + ndti:bai_246 + satvi:nir + satvi:bai_236 + satvi:bai_246 + nir:bai_236 + nir:bai_246 + bai_236:bai_246,NEX,0.6157,0.5986,561.0613,571.4063,65.4315,0.5332,0.3889,0.0445,0.4564,,59.6764,0.3811,0.0501,0.5762,0.1219,0.0817,0.0173,380.195,0.8811,3.215,420.2568,503.0072,0.286,0.0406,0.3424
