Site,Disturbance,Exclosure,Date,Total Hits,hits_C4,hits_C3,hits_AnnGrass,hits_Forb,hits_Brome,hits_VUOC,hits_Subshrub,hits_SD,hits_Total,weight_Total,weight_C4,weight_C3,weight_Forb,weight_Brome,weight_VUOC,weight_AnnGrass,weight_Subshrub,weight_SD,Year
lake creek,control,livestock ex,2017-07-25,18,6,1,10,1,10,0,0,0,18,103.04,29.959999999999997,21.479999999999997,18.06,22.68,10.86,33.54,0.0,0.0,2017
lake creek,control,livestock ex,2018-08-06,36,5,6,17,8,17,0,0,0,36,188.88,34.38,40.66,35.8,44.9,0.0,44.9,0.0,33.14,2018
lake creek,control,livestock ex,2019-07-31,23,1,0,20,2,20,0,0,0,23,138.52,71.3,0.0,18.7,44.9,0.02,44.92,0.0,3.6,2019
lake creek,control,livestock ex,2020-08-03,13,3,0,7,0,7,0,0,3,13,83.36,45.36,0.0,0.3,13.9,0.0,13.9,0.0,23.8,2020
lake creek,control,out,2017-07-25,11,6,3,2,0,2,0,0,0,11,85.94,28.2,24.160000000000004,11.46,11.220000000000002,10.9,22.120000000000005,0.0,0.0,2017
lake creek,control,out,2018-08-06,23,16,0,3,4,3,0,0,0,23,75.52,22.64,13.44,29.56,3.38,0.0,3.38,0.0,6.5,2018
lake creek,control,out,2019-07-31,32,0,5,13,7,13,0,0,0,25,102.2,14.0,20.5,22.2,43.2,0.0,43.2,0.0,2.3,2019
lake creek,control,out,2020-08-03,4,1,0,1,0,1,0,0,2,4,39.4218,19.66,1.72,0.04,2.02,0.0018,2.0218,0.0,15.98,2020
lake creek,control,ungulate ex,2017-07-25,37,23,3,7,4,7,0,0,0,37,138.26,39.78000000000001,64.11999999999999,23.2,11.160000000000004,0.0,11.160000000000004,0.0,0.0,2017
lake creek,control,ungulate ex,2018-08-06,28,0,11,11,2,11,0,0,4,28,269.36,15.58,140.56,39.6,32.46,0.0,32.46,0.0,41.16,2018
lake creek,control,ungulate ex,2019-07-31,47,1,9,18,14,18,0,0,5,47,211.5,9.1,57.2,65.7,77.3,0.0,77.3,0.0,2.2,2019
lake creek,control,ungulate ex,2020-08-03,29,0,6,18,0,18,0,0,5,29,150.0,10.1,45.3,1.4,39.7,0.0,39.7,0.0,53.5,2020
lake creek,fire,livestock ex,2017-07-20,18,11,7,0,0,0,0,0,0,18,135.24,46.699999999999996,53.00000000000001,22.06,0.0,13.48,13.48,0.0,0.0,2017
lake creek,fire,livestock ex,2018-07-30,38,2,9,10,11,1,9,0,6,38,234.96,31.82,47.72,114.44,2.7,16.32,19.02,0.0,21.96,2018
lake creek,fire,livestock ex,2019-07-31,48,20,0,18,10,18,0,0,0,48,158.70000000000005,88.7,4.7,34.0,29.2,0.8,30.0,0.0,1.3,2019
lake creek,fire,livestock ex,2020-08-03,25,4,2,6,0,6,0,0,13,25,106.2,26.16,8.68,0.86,17.3,0.0,17.3,0.0,53.2,2020
lake creek,fire,out,2017-07-20,25,0,9,4,12,0,4,0,0,25,135.65999999999997,0.35999999999999943,75.22,53.1,3.1199999999999974,3.8599999999999994,6.979999999999997,0.0,0.0,2017
lake creek,fire,out,2018-07-30,26,13,2,0,11,0,0,0,0,26,127.02,31.22,8.66,81.02,1.64,0.28,1.92,0.0,4.2,2018
lake creek,fire,out,2019-07-31,23,5,12,1,3,1,0,0,0,21,182.72,39.6,79.2,62.1,0.6,0.02,0.62,0.0,1.2,2019
lake creek,fire,out,2020-08-03,10,0,8,1,0,1,0,0,1,10,124.49999999999999,0.36,63.9,0.22,9.12,0.0,9.12,0.0,50.9,2020
lake creek,fire,ungulate ex,2017-07-20,22,6,4,1,11,0,1,0,0,22,119.99999999999997,27.839999999999996,12.620000000000001,67.69999999999999,0.1800000000000015,11.659999999999998,11.84,0.0,0.0,2017
lake creek,fire,ungulate ex,2018-07-30,34,7,0,0,21,0,0,0,6,34,127.39999999999999,25.62,8.28,81.58,0.0,0.22,0.22,0.0,11.7,2018
lake creek,fire,ungulate ex,2019-07-31,14,5,7,0,2,0,0,0,0,14,173.3,28.7,87.0,54.6,1.5,0.0,1.5,0.0,1.5,2019
lake creek,fire,ungulate ex,2020-08-03,16,0,4,0,0,0,0,0,12,16,163.45999999999998,4.26,64.02,0.0,0.44,0.0,0.44,0.0,94.74,2020
lake creek,prairie dog,livestock ex,2017-07-25,24,2,3,5,7,5,0,0,0,17,136.64000000000001,21.759999999999998,25.200000000000003,56.760000000000005,17.619999999999997,15.299999999999999,32.919999999999995,0.0,0.0,2017
lake creek,prairie dog,livestock ex,2018-07-30,27,3,1,8,15,8,0,0,0,27,101.16,17.12,4.5,41.28,30.8,0.32,31.12,0.0,7.14,2018
lake creek,prairie dog,livestock ex,2019-07-31,37,4,3,26,3,26,0,0,0,36,211.60000000000002,59.7,37.7,56.3,53.6,1.9,55.5,0.0,2.4,2019
lake creek,prairie dog,livestock ex,2020-08-03,14,0,0,7,0,7,0,0,7,14,66.64,2.36,21.1,0.68,17.4,0.1,17.5,0.0,25.0,2020
